PGA;PSP;N_cursos;N_aprob;Ranking
5.79;5.47;7;7;13
6.03;5.64;6;6;9
4.97;4.94;5;4;22
5.31;5.16;6;5;17
3.23;3.38;5;3;18
5.7;5.49;6;6;5
4.84;5.04;7;7;13
5.18;4.7;5;5;10
3.71;4.37;6;4;19
4.35;5.37;2;1;24
4.31;4.25;5;3;25
5.11;4.81;5;4;42
4.95;4.62;6;6;46
6.01;4.87;6;6;14
4.79;5.01;5;4;41
1.45;4.94;2;0;4
6.1;6.06;4;4;18
4.69;5.34;7;6;39
6.22;5.76;7;7;11
6.12;6.19;7;7;13
6.49;5.86;8;7;4
6.43;5.99;9;8;5
5.28;4.87;7;7;10
3.86;4.91;5;2;7
1.4;3.39;5;0;6
6.19;5.96;3;3;3
5.95;5.94;7;7;25
6.18;5.99;7;7;19
5.8;5.63;8;8;23
6.56;6.33;7;7;11
6.57;6.34;7;7;10
6.39;6.16;7;7;22
6.35;5.73;8;7;24
6.19;5.64;7;7;34
6.53;6.45;7;7;1
5.99;6.18;7;7;19
6.13;6.09;8;8;10
6.17;6.11;7;7;7
6.15;6;7;7;8
5.66;5.75;8;8;33
6.77;6.82;3;3;7
6.63;6.59;3;3;12
6.68;6.65;3;3;10
6.72;6.41;3;3;9
