horas;asistencia;tareas;retrasos;planificacion;nota_final;aprobado
4.10;72.20;84.99;2.16;2.82;4.81;True
4.39;64.69;64.09;0.14;3.69;3.62;False
3.98;76.52;89.89;1.78;2.57;3.65;False
3.85;73.51;88.39;5.15;2.44;4.09;False
2.26;78.84;94.66;0.14;2.75;4.89;True
4.15;70.85;57.26;1.99;3.60;3.34;False
3.08;80.78;106.31;3.63;3.83;4.28;True
3.44;92.96;87.63;2.16;2.97;4.07;False
4.42;87.44;100.75;0.34;3.72;4.97;True
4.64;91.80;69.29;3.74;3.22;4.21;True
5.79;70.59;95.52;1.61;1.72;5.51;True
3.92;56.91;68.47;3.82;2.31;;False
4.77;60.90;81.73;3.18;3.70;4.59;True
3.23;90.94;107.27;1.86;3.10;5.17;True
1.61;83.86;73.44;1.45;2.89;4.34;True
3.78;71.29;87.64;4.64;2.64;2.98;False
4.67;69.68;91.33;0.63;3.66;4.51;True
6.65;66.21;86.12;0.42;4.65;5.11;True
3.33;89.37;93.33;0.75;4.12;5.36;True
4.15;74.74;85.35;3.55;2.68;5.08;True
3.66;80.70;104.96;1.24;3.33;4.81;True
2.48;83.20;84.81;1.31;1.52;3.80;False
5.62;89.34;90.47;-1.22;3.51;4.73;True
4.08;82.25;94.79;0.60;1.43;5.30;True
5.58;63.90;101.95;-0.24;3.41;4.55;True
3.50;79.85;99.55;4.20;2.04;4.77;True
5.94;93.59;80.38;1.80;3.62;4.67;True
2.37;80.72;70.90;-1.58;2.06;5.30;True
4.51;86.33;98.50;-0.44;2.25;5.01;True
5.49;67.15;75.96;3.02;2.42;3.98;True
2.75;55.15;74.77;2.44;2.70;4.53;False
3.68;73.97;90.33;1.27;3.42;3.66;True
4.74;74.34;87.04;3.12;2.44;3.63;True
2.95;77.76;89.04;4.84;2.81;4.24;False
2.27;60.05;94.18;-0.39;3.36;3.13;
3.99;93.80;101.06;1.64;2.01;4.52;True
2.25;;105.54;-0.17;1.71;5.14;True
4.76;69.15;94.33;1.35;2.66;2.76;False
;67.77;83.22;0.70;3.72;3.45;True
5.45;61.78;93.93;-0.20;2.91;4.07;True
3.00;84.73;94.49;1.97;3.07;4.04;False
3.29;71.70;68.55;0.08;3.77;3.92;False
4.81;63.45;87.50;4.04;2.11;2.79;False
2.66;67.90;85.19;0.33;2.84;3.70;False
4.05;68.72;81.64;4.86;3.09;3.80;False
4.95;101.95;90.25;-0.08;2.57;6.93;True
4.81;174.32;179.83;5.84;5.51;9.18;False
5.00;60.13;86.07;-0.22;2.13;3.64;True
4.33;69.25;84.01;0.65;3.14;4.42;True
5.27;73.36;82.52;3.14;3.72;4.52;True
2.08;39.51;89.58;-0.89;2.33;3.43;False
2.76;71.79;77.47;2.19;3.39;2.73;False
3.98;67.35;94.66;3.21;;5.13;True
3.57;82.62;77.71;1.95;2.27;5.52;True
3.89;98.35;72.01;5.31;3.43;2.85;False
4.93;89.42;58.34;2.53;2.02;3.80;False
3.79;60.71;71.84;4.85;1.77;3.52;False
4.35;73.92;73.95;-0.62;2.67;3.52;False
3.54;102.18;97.98;2.44;2.92;5.65;True
3.19;71.80;99.99;-0.40;2.98;;True
6.01;75.91;83.14;2.58;0.58;5.96;True
4.56;75.62;114.46;0.55;2.01;4.83;True
1.90;73.72;90.51;2.35;2.81;3.75;False
4.22;74.52;84.15;4.21;2.79;4.68;True
2.99;66.29;63.20;1.61;0.55;3.86;False
5.05;67.55;105.51;3.02;3.24;4.78;True
4.08;71.32;67.21;0.97;2.37;4.20;True
3.10;62.56;76.68;-0.09;3.68;3.49;True
5.03;68.58;96.37;-0.96;1.93;5.72;True
4.83;78.93;112.61;0.43;3.14;5.28;True
5.16;74.97;94.69;0.50;3.02;3.47;True
6.18;94.05;84.48;4.12;1.76;4.03;True
3.36;50.08;88.07;3.07;3.04;3.21;False
2.31;83.31;92.91;1.11;2.61;4.29;True
2.92;91.57;87.21;-0.01;3.52;5.23;True
3.68;47.63;87.76;4.58;6.10;3.51;False
4.61;67.17;77.51;1.17;0.99;4.39;True
4.69;66.57;78.72;1.53;4.59;5.00;True
4.49;66.21;80.85;-0.36;2.81;5.58;True
5.01;71.83;85.24;3.22;3.59;3.44;False
3.74;66.28;66.09;0.15;2.94;4.29;True
5.39;97.76;78.88;1.71;1.81;4.83;True
4.55;80.06;69.92;5.38;2.55;3.37;False
6.26;89.42;72.08;1.07;3.61;5.38;True
5.42;81.60;90.05;1.39;1.62;4.75;True
2.98;67.85;103.61;5.00;3.39;2.83;False
3.58;69.19;91.68;-0.10;2.65;4.49;True
3.79;78.01;63.47;4.83;1.18;3.73;False
4.06;65.42;76.46;3.85;3.28;3.06;False
4.35;86.41;90.25;1.80;3.56;6.21;True
3.78;69.33;72.56;1.62;2.80;3.88;False
4.03;70.95;89.45;2.62;3.22;3.73;False
3.65;76.93;94.68;5.45;2.93;3.64;True
2.07;67.23;76.11;0.63;3.67;3.85;False
2.82;72.37;79.63;3.49;3.40;3.62;False
4.81;89.57;72.73;3.46;3.98;4.11;True
4.17;65.47;84.35;0.73;3.16;4.15;True
3.02;71.63;86.30;2.58;2.81;4.34;False
4.64;79.22;75.89;;3.30;3.78;False
8.21;152.41;204.25;3.40;8.89;11.38;True
4.03;;93.21;1.02;2.94;3.40;False
4.26;57.18;92.07;3.14;;3.59;False
3.89;90.38;90.21;3.67;3.09;4.88;True
2.07;77.78;105.78;5.93;2.98;3.60;False
4.23;65.37;88.51;0.87;2.44;3.42;False
4.40;79.95;78.17;2.47;2.87;5.21;True
5.55;69.67;83.96;1.69;3.16;4.50;True
5.28;56.79;91.64;1.99;3.21;5.73;True
2.04;59.93;78.97;2.45;4.52;4.34;False
3.15;78.70;84.68;1.72;3.83;4.37;True
4.84;53.49;83.52;-0.49;3.27;4.59;True
5.26;81.64;67.30;0.56;2.40;4.36;True
4.95;55.29;78.72;1.08;2.41;3.61;True
8.23;89.22;108.17;3.75;2.85;5.20;True
4.60;74.41;70.24;1.49;4.20;5.68;True
5.33;77.44;80.82;3.56;4.19;;True
5.57;75.29;77.83;-0.04;3.01;4.41;True
4.00;77.66;100.16;3.85;2.28;3.70;False
3.51;72.96;87.01;1.25;2.29;3.58;False
4.38;88.48;90.41;1.96;3.51;5.16;True
3.41;69.51;81.23;3.57;3.23;3.01;False
4.37;77.59;86.75;1.54;2.95;3.83;False
3.22;74.06;77.06;0.39;3.45;3.73;True
2.91;77.76;;0.61;2.32;5.99;True
11.52;171.26;174.49;7.50;8.59;14.51;True
2.58;54.18;93.35;0.84;2.49;2.65;False
4.95;57.22;87.60;1.03;2.85;4.07;True
2.60;82.92;82.40;2.27;1.32;3.15;False
3.39;79.06;81.20;2.23;2.28;3.05;False
4.46;80.48;85.90;-1.01;1.33;4.59;True
4.32;72.76;86.65;0.68;3.89;4.30;True
2.51;76.04;89.86;4.08;3.55;3.36;False
4.36;75.22;98.63;4.23;3.07;3.55;False
4.96;68.67;112.00;1.20;4.35;4.50;True
2.98;83.16;81.08;2.70;2.52;1.79;False
3.92;66.63;64.28;2.01;4.53;4.98;True
4.00;73.42;83.13;4.55;3.61;3.94;True
6.09;128.44;247.30;-0.59;7.70;13.12;True
6.69;77.70;76.70;1.26;3.64;4.77;True
4.73;82.96;103.93;2.85;2.95;3.94;False
1.62;83.37;100.17;0.97;2.14;4.81;True
5.11;93.87;74.26;2.47;3.32;4.72;True
3.36;95.78;90.07;4.78;2.64;3.93;False
9.86;226.73;218.97;7.26;4.48;14.39;True
2.91;53.75;77.90;0.59;4.34;3.48;False
4.06;56.55;81.77;;2.86;3.77;False
4.66;72.91;74.44;3.21;3.55;3.51;False
3.94;77.30;80.51;2.18;3.03;4.10;True
3.79;80.70;77.02;0.77;;3.72;False
4.30;69.64;80.10;0.09;2.98;3.87;True
3.33;78.45;93.06;1.09;2.01;4.23;True
2.81;73.72;76.89;2.27;2.95;3.61;False
5.94;75.22;82.24;-0.27;2.28;5.01;True
4.45;63.59;58.90;0.64;3.63;2.92;False
2.91;69.90;80.87;-0.12;3.80;3.31;False
5.01;64.00;86.40;1.18;2.85;4.49;True
6.37;62.99;72.03;1.87;4.47;5.36;True
5.74;89.24;89.33;1.99;2.63;3.27;False
2.76;;99.24;;3.47;4.07;True
3.00;106.48;61.69;4.79;3.31;4.63;True
5.94;74.09;95.67;1.41;2.83;5.57;True
4.10;78.25;93.67;2.32;4.46;2.28;False
5.99;62.28;79.40;1.06;4.22;3.90;True
;84.71;83.70;2.03;3.34;4.44;True
3.19;69.08;93.44;-0.71;2.40;3.71;False
2.92;68.42;94.02;0.54;2.13;5.16;True
1.03;102.66;89.27;4.10;2.63;4.00;True
2.71;71.21;76.14;4.31;3.08;3.16;False
4.69;90.80;87.67;0.49;2.36;4.08;False
2.37;67.97;82.95;0.72;4.55;3.68;False
4.80;76.58;73.28;2.70;4.25;4.58;True
2.34;88.03;79.41;6.73;3.53;2.72;False
2.59;65.85;77.06;0.73;2.70;4.66;True
4.50;90.88;100.22;2.50;3.03;4.93;True
8.35;215.34;197.14;9.76;6.67;12.23;True
2.58;77.58;90.84;2.08;3.11;4.77;True
4.14;77.39;77.67;0.91;3.59;5.45;True
3.85;89.99;97.56;1.53;1.70;4.54;True
3.82;70.61;101.21;0.42;3.40;4.21;True
4.64;53.46;82.13;2.15;2.48;4.05;True
7.12;157.36;225.80;7.39;3.21;14.64;True
3.38;65.91;86.64;2.38;2.17;3.23;False
4.08;66.51;77.85;2.12;2.38;4.41;True
3.85;83.23;80.24;1.01;4.13;3.94;True
3.44;75.73;90.04;1.65;3.31;4.53;True
4.95;63.50;77.04;1.61;2.36;3.45;False
4.26;82.18;97.38;0.24;3.23;5.80;True
2.45;82.40;97.03;3.18;1.36;3.48;False
5.89;83.81;73.43;2.84;4.16;4.55;True
2.36;85.47;70.97;2.90;2.37;3.50;False
3.86;77.53;74.71;1.10;2.91;5.28;True
3.90;84.76;93.79;2.52;4.09;4.65;True
3.80;71.42;74.01;7.46;2.17;3.48;False
3.47;53.82;62.27;2.19;2.41;2.18;False
3.75;78.43;89.27;2.86;2.76;4.50;True
3.22;72.61;107.34;1.91;3.42;4.57;True
3.17;75.67;74.31;0.36;2.71;4.49;False
5.19;63.91;103.70;2.45;1.09;4.35;True
4.10;65.89;86.60;1.11;2.63;3.81;True
3.26;81.14;86.02;0.92;3.73;3.24;False
5.96;72.22;93.90;0.46;3.93;5.19;True
6.80;217.34;166.89;4.49;7.11;8.13;False
3.90;77.71;86.73;1.54;;4.07;True
5.01;85.44;80.14;1.56;3.71;5.76;True
2.84;90.15;89.82;1.38;1.58;3.83;False
3.28;75.44;88.68;4.56;2.77;3.06;False
4.36;69.17;78.04;2.80;3.51;4.24;True
4.48;74.11;75.22;2.01;2.78;5.28;True
4.76;70.40;96.87;0.87;1.95;3.50;False
4.51;69.21;76.09;0.92;2.82;3.43;False
5.70;78.04;79.04;0.93;0.68;5.66;True
2.71;74.83;91.24;-0.54;2.39;5.39;True
3.98;90.01;99.55;2.95;3.50;5.37;True
2.40;61.76;92.47;4.15;2.00;3.44;False
3.39;76.76;88.37;1.88;2.54;4.95;True
5.57;67.48;105.27;6.80;3.34;5.23;True
5.08;90.53;109.94;0.24;3.07;5.13;True
4.70;75.48;87.11;0.75;2.52;4.69;True
5.29;84.25;93.31;1.11;2.62;4.43;True
3.68;63.89;73.82;0.68;3.14;3.68;True
4.78;72.58;76.87;1.21;3.76;5.01;True
4.07;93.41;73.40;5.20;3.54;3.59;True
3.53;66.92;78.04;3.88;3.37;3.74;True
4.02;82.73;79.02;0.86;3.03;3.93;False
4.55;71.64;89.75;1.74;3.54;5.02;True
4.39;91.95;95.71;-1.20;1.42;4.86;True
3.53;97.50;73.82;1.46;3.81;4.63;True
7.47;71.09;89.75;1.34;3.31;5.51;True
2.94;72.55;91.31;1.65;2.82;3.53;False
2.98;88.40;64.30;2.95;3.53;4.02;False
4.80;97.61;79.29;0.30;2.53;4.34;True
4.88;73.88;85.33;0.29;2.86;4.30;False
4.85;75.07;74.63;2.88;2.67;4.19;
4.72;67.46;89.63;3.46;2.75;5.19;True
3.49;61.17;94.16;2.95;4.34;3.39;False
3.20;64.34;91.52;3.96;2.93;2.85;False
4.79;60.04;86.45;2.05;2.64;4.28;True
3.54;69.08;100.01;2.75;3.51;4.73;True
5.45;72.02;85.79;2.98;3.09;4.38;True
3.74;80.55;;2.56;2.93;3.95;False
3.54;85.27;77.32;1.25;3.24;4.13;True
3.82;73.42;87.26;1.98;;4.00;False
3.95;80.46;79.42;5.55;2.81;2.44;False
3.59;73.93;79.93;4.54;3.47;4.72;True
2.69;78.38;90.36;1.02;2.00;4.47;True
3.93;78.96;84.00;6.50;3.13;3.93;False
4.34;67.94;89.53;1.78;3.93;5.33;True
3.64;72.81;105.03;3.50;3.40;4.66;True
2.95;83.77;94.39;1.20;3.46;4.74;True
4.75;79.99;71.61;2.28;3.31;4.87;True
2.83;74.98;53.51;4.00;2.32;2.53;False
2.25;98.09;93.23;2.62;3.66;4.57;True
4.76;181.17;158.43;8.12;8.10;11.84;False
3.72;66.83;74.90;1.73;4.30;4.21;True
4.09;65.10;74.31;3.30;3.09;2.91;False
5.53;68.36;67.49;2.59;4.00;4.64;True
4.68;62.87;90.62;0.52;3.09;4.19;True
2.86;95.79;97.83;2.14;3.07;3.91;True
3.79;86.44;80.92;1.03;2.69;4.02;False
2.85;73.36;66.56;2.01;3.30;2.10;False
4.29;67.70;74.52;3.37;4.39;5.12;True
3.37;74.90;89.60;2.74;3.21;5.07;True
5.15;69.45;70.64;5.18;2.05;4.13;True
2.23;85.16;81.43;1.28;2.27;2.99;False
5.16;76.11;89.68;1.84;2.84;5.20;True
5.42;65.68;102.54;0.48;3.10;4.24;True
8.13;238.32;183.34;4.53;7.20;12.38;True
4.44;97.45;77.82;-0.97;3.31;4.22;True
5.25;66.62;97.39;1.85;1.73;4.84;True
3.41;65.84;79.81;4.11;3.09;3.75;False
3.69;74.86;75.53;1.60;1.99;4.54;True
4.71;79.30;72.10;0.82;3.56;4.27;True
4.04;84.25;73.54;0.46;2.88;6.13;True
3.34;84.48;84.76;3.28;2.99;2.99;False
4.63;73.19;82.69;0.81;2.42;4.43;True
3.99;67.79;100.37;0.75;4.16;5.86;True
;59.85;75.77;3.29;3.33;3.47;False
4.67;74.01;63.20;-0.20;3.44;4.85;True
6.09;76.73;95.84;3.08;2.99;4.50;True
3.27;99.35;83.25;2.33;3.15;4.81;True
4.14;68.77;83.51;2.86;2.30;3.11;False
3.80;81.82;97.93;1.93;3.68;4.32;True
6.85;82.83;80.20;1.85;3.75;6.35;True
3.63;93.30;103.65;3.70;3.87;4.64;True
3.13;94.93;93.80;2.30;2.17;4.75;True
6.64;170.87;172.75;9.31;9.17;7.31;False
1.73;68.42;101.37;1.09;2.92;3.12;False
4.14;87.83;79.18;-0.27;3.10;5.19;True
3.14;85.18;87.00;1.65;3.50;3.56;False
4.26;89.36;88.40;3.03;1.43;4.01;False
4.90;81.17;95.59;2.47;2.55;4.79;True
5.49;61.53;;4.27;2.35;5.24;True
5.72;87.96;85.12;1.75;2.96;4.24;True
2.67;83.58;70.37;2.07;1.84;4.88;True
3.90;83.48;88.92;-0.37;3.20;5.25;True
4.31;78.56;80.85;-0.84;2.81;4.91;True
2.56;91.27;113.59;0.88;3.15;;True
4.90;72.82;83.39;-0.23;2.18;5.98;True
4.96;88.74;73.35;4.28;3.93;4.53;True
5.70;202.12;193.69;17.36;10.20;10.81;True
1.99;71.11;64.56;3.77;2.62;1.40;False
5.29;84.91;73.08;1.72;2.62;4.42;True
4.36;82.73;95.70;0.32;3.07;4.03;False
5.34;70.60;78.08;4.34;2.82;3.91;False
2.56;80.43;78.01;3.23;3.44;4.28;True
2.86;77.24;86.91;2.93;3.24;2.80;False
3.57;72.02;95.47;2.24;2.08;3.94;False
4.93;84.20;92.12;0.68;4.45;6.07;True
3.19;82.27;95.72;1.42;2.76;3.36;False
5.44;77.54;77.93;2.26;2.20;4.05;False
5.30;134.41;155.39;7.28;7.69;7.92;False
3.86;79.83;104.28;1.62;2.78;4.65;True
4.65;83.34;83.76;0.11;2.45;4.19;True
5.14;100.73;84.78;1.21;4.06;5.15;True
4.66;68.60;90.29;2.44;2.75;4.43;True
2.68;62.94;90.82;1.51;2.90;4.30;True
2.44;80.05;91.98;2.50;4.05;4.21;True
5.44;84.81;110.33;1.28;2.08;4.86;True
4.77;64.18;75.07;4.76;3.35;3.45;False
3.25;63.94;90.95;4.17;3.15;4.02;True
5.85;85.06;82.67;2.57;3.42;4.27;True
4.92;77.50;90.40;1.60;1.49;4.61;False
5.37;69.43;105.51;2.96;2.92;3.43;False
4.22;83.73;88.02;1.98;2.82;4.25;True
5.32;88.85;94.97;2.55;3.51;4.42;True
4.46;72.64;96.35;-0.25;3.25;5.20;True
3.94;69.52;80.72;2.56;2.53;4.13;False
4.93;67.83;75.54;1.13;2.37;4.32;True
4.39;79.04;78.32;1.04;2.40;5.55;True
;58.65;66.98;2.67;2.46;3.75;False
3.01;68.20;117.06;0.87;4.26;4.91;True
9.88;204.28;148.32;3.12;6.14;12.26;True
5.10;90.88;85.40;1.91;0.69;4.27;True
3.53;193.19;169.39;5.34;6.14;9.40;False
3.30;72.89;83.68;1.37;2.53;3.60;False
1.85;104.35;93.10;1.42;2.02;4.67;True
3.99;58.98;94.30;3.73;2.08;3.31;False
4.48;48.41;93.91;2.97;2.75;3.35;False
5.18;80.60;82.40;1.99;3.96;5.14;True
4.12;66.06;82.12;0.52;2.67;5.70;True
5.63;72.03;83.89;0.96;2.63;4.76;True
2.86;80.70;90.59;1.34;3.63;3.73;False
2.16;74.67;89.45;2.01;2.24;4.29;False
3.04;67.05;92.43;-0.06;1.97;3.58;True
4.17;65.71;95.64;0.65;2.75;4.69;True
4.36;82.95;101.65;1.97;1.56;3.19;False
1.79;78.36;84.27;1.50;3.13;3.80;True
3.79;82.15;71.27;5.52;3.06;3.56;False
3.18;89.28;85.13;0.76;2.88;4.24;True
4.32;64.47;72.79;3.96;2.86;4.31;True
3.61;62.93;81.28;1.80;2.03;4.89;True
2.98;60.10;84.43;3.03;3.47;4.06;True
3.25;76.89;95.29;-0.46;1.94;4.11;False
2.47;72.27;80.19;6.03;3.08;4.12;True
3.85;76.61;90.86;0.05;2.42;4.61;True
5.20;73.81;111.12;2.01;2.38;5.14;True
3.01;65.87;80.83;3.13;1.92;;False
4.65;94.85;101.66;1.97;2.22;4.87;True
4.36;78.39;90.02;0.26;4.25;5.08;True
3.04;87.40;67.47;1.64;3.67;3.62;False
4.03;77.30;93.64;1.32;4.03;3.87;False
2.71;76.75;86.56;1.75;3.26;4.04;False
3.03;;96.88;-0.72;1.62;5.01;True
2.52;76.06;93.59;3.03;3.46;4.43;True
5.73;76.36;88.87;4.59;2.43;4.48;True
4.21;91.55;62.88;-0.07;3.67;4.19;True
4.45;73.07;81.05;2.90;2.31;4.90;True
7.28;193.32;165.16;4.84;10.20;11.14;True
3.68;67.04;74.56;5.09;3.62;3.40;True
3.75;87.04;99.63;0.88;4.73;4.62;True
4.81;67.83;98.49;2.05;3.10;5.05;True
4.89;94.20;88.74;-0.26;3.12;5.26;True
4.10;79.25;75.85;1.24;4.36;4.86;True
2.23;63.27;86.46;1.25;2.91;4.57;True
2.55;75.35;87.64;1.23;0.97;5.23;True
1.45;67.22;76.74;4.38;1.63;2.11;False
3.02;85.90;88.86;1.71;2.99;4.04;False
4.60;74.70;83.45;2.46;1.51;4.67;True
4.17;71.16;72.88;0.92;2.63;4.71;True
4.03;53.81;96.16;1.44;3.18;3.89;True
4.70;65.62;82.12;2.98;2.93;5.11;True
3.78;43.69;;1.84;2.91;4.81;True
6.60;62.42;76.88;2.04;3.97;3.52;True
4.64;85.43;84.52;-0.43;4.56;4.24;True
3.93;85.68;104.25;0.75;1.92;4.37;True
2.74;78.63;85.45;0.50;3.09;3.57;False
2.64;72.21;108.13;0.70;2.32;3.86;True
2.80;72.16;78.45;4.21;3.63;4.61;True
2.82;79.64;82.06;4.44;3.61;4.32;False
2.03;63.23;94.64;1.36;3.08;4.22;True
3.23;87.06;71.36;0.06;4.18;4.19;False
2.65;86.67;61.94;5.26;2.22;2.56;False
6.08;;68.86;0.62;4.00;5.68;True
3.97;77.01;99.64;1.29;3.61;4.22;True
4.01;77.48;81.30;0.28;3.20;4.45;True
10.85;135.79;240.86;7.94;9.26;13.62;True
9.41;210.20;172.09;6.85;4.66;15.79;True
2.90;73.97;84.28;;2.21;4.77;True
5.68;68.52;97.83;5.40;2.39;4.71;True
3.65;72.74;99.00;3.63;3.99;4.54;True
1.79;97.90;114.63;1.69;2.69;5.16;True
4.22;83.94;97.15;4.24;3.52;5.67;True
3.12;69.42;94.10;5.45;3.93;2.80;False
3.20;79.24;86.23;2.57;4.15;2.13;False
