frecuencia;gasto;visitas;devoluciones;satisfaccion_cliente;valor_cliente;cliente_premium
6.02;127.74;3.68;2.57;0.68;354.68;True
9.50;72.69;41.01;2.01;1.02;664.87;True
7.76;33.35;15.15;0.64;1.24;364.72;
4.91;85.22;32.65;3.26;0.78;463.96;True
7.22;60.09;53.58;1.95;1.60;302.51;False
5.27;44.36;55.41;6.92;0.76;252.35;False
4.02;45.08;19.93;2.19;1.11;258.30;False
5.06;41.89;99.48;2.32;0.92;18.31;False
6.36;37.84;46.28;0.96;0.58;115.50;False
5.88;98.38;38.38;-0.20;2.36;454.04;True
7.67;104.04;67.84;6.17;0.71;725.42;True
3.83;77.68;3.71;3.52;1.26;227.71;False
6.68;89.47;57.37;3.27;;600.02;True
7.34;94.15;64.24;3.45;1.01;577.20;True
4.20;111.46;40.60;0.67;3.04;491.53;False
8.97;78.74;36.02;-1.23;2.63;196.75;
2.03;120.40;49.49;1.14;3.00;289.45;False
3.35;87.10;43.78;1.19;2.13;262.63;False
8.28;62.67;58.63;1.12;1.25;800.23;True
6.02;50.06;60.49;3.92;1.16;236.55;False
4.36;19.70;42.88;1.12;;-19.34;False
7.66;54.76;19.40;2.66;0.93;407.69;True
7.53;31.87;24.12;0.89;0.93;199.01;False
2.81;-11.80;16.86;1.17;0.63;39.15;False
8.24;67.56;14.47;2.05;1.29;444.73;False
3.75;55.82;32.51;3.51;1.02;103.34;False
9.48;64.80;23.78;-1.35;1.71;587.50;True
8.99;143.57;37.71;2.23;3.55;1026.39;True
5.47;27.10;65.60;1.10;1.21;262.70;False
4.39;6.10;58.41;2.12;1.25;14.78;False
3.59;96.34;46.19;2.19;1.50;346.08;False
5.35;119.29;2.24;3.40;1.59;588.06;True
3.47;56.66;33.19;0.15;2.30;314.95;False
7.80;75.78;22.48;2.52;1.11;590.76;True
3.19;76.33;44.35;1.20;1.22;219.72;False
5.66;6.97;59.91;2.99;1.34;238.89;False
7.20;113.57;18.36;1.27;1.41;391.59;True
6.00;84.07;50.67;0.52;2.02;209.73;False
6.73;50.67;60.19;1.65;1.00;214.02;False
4.69;35.22;68.70;0.90;1.01;-174.42;False
8.35;70.89;25.17;0.95;1.39;529.16;True
5.31;35.33;53.16;2.39;1.00;360.46;False
6.06;47.88;42.79;2.35;1.41;315.81;True
3.67;78.99;52.59;2.83;0.87;461.20;False
6.20;9.04;-20.10;4.14;0.56;320.23;False
5.73;76.99;79.27;1.88;0.92;442.09;False
11.72;79.83;218.76;10.38;1.86;1069.02;False
13.84;142.36;64.84;3.76;1.33;208.36;False
4.25;;49.49;0.20;2.02;141.30;False
1.43;34.07;34.67;2.00;1.54;90.08;False
1.72;110.83;57.44;3.91;1.07;381.30;True
4.84;97.92;43.70;-0.04;3.14;753.84;True
4.99;22.85;61.25;2.50;1.90;194.25;False
3.87;79.34;41.04;2.47;1.22;326.63;False
6.65;23.85;0.19;2.54;1.89;119.62;False
1.96;59.94;-20.49;1.15;1.08;-89.53;False
6.06;31.64;39.54;-0.15;1.03;220.02;False
9.51;76.10;-7.28;1.04;1.69;318.07;False
3.05;42.31;34.35;6.36;1.56;;False
4.49;26.84;41.10;2.01;1.77;34.86;False
3.57;39.88;26.50;4.91;1.40;105.76;False
2.67;35.38;52.04;1.75;1.11;142.83;False
5.64;61.13;50.35;-0.21;1.94;576.69;True
1.65;56.84;45.15;0.42;0.87;-53.64;False
5.83;88.91;67.22;3.18;1.00;279.83;False
4.47;1.30;57.17;0.82;0.67;-47.05;False
6.68;48.70;5.39;4.47;0.52;294.91;False
3.39;38.38;25.85;3.88;0.77;226.84;False
5.33;75.60;26.97;-0.77;1.55;412.78;True
5.12;65.08;-9.17;-0.64;0.89;324.55;False
5.67;58.39;53.00;0.56;1.06;3.48;False
5.48;88.79;41.63;2.23;2.32;397.43;True
7.65;67.58;62.73;0.75;1.99;504.58;True
6.28;69.84;16.28;-0.09;3.47;422.03;True
5.91;39.35;34.17;0.98;1.33;-65.21;False
6.69;19.47;37.60;2.27;0.75;240.38;False
6.06;87.65;38.22;1.48;0.92;344.44;True
5.79;62.92;44.80;3.32;0.49;462.90;False
5.62;38.94;73.47;4.52;1.29;231.10;False
5.13;46.00;21.56;2.43;1.14;200.93;False
4.10;42.75;91.56;0.07;3.08;142.65;False
4.78;54.03;117.79;-0.36;3.17;588.62;False
4.68;107.11;26.93;2.69;1.00;594.27;True
3.45;45.59;15.65;0.98;0.95;254.23;False
;46.45;55.76;2.75;2.57;415.47;True
3.21;-24.97;41.99;3.32;0.91;-105.89;False
5.52;38.81;54.78;2.65;0.96;360.07;False
6.52;57.71;79.21;4.05;1.17;308.90;False
0.85;57.97;22.90;0.77;0.35;148.90;False
2.27;48.90;7.64;-0.59;1.54;66.35;False
5.51;69.25;36.86;3.17;1.22;296.88;False
0.61;24.35;38.10;4.38;0.67;-34.66;False
6.75;67.58;58.37;6.95;0.88;283.73;False
5.24;31.27;58.34;5.09;1.39;85.71;False
4.53;79.10;9.79;1.29;1.79;379.55;True
7.15;54.13;25.88;4.93;1.05;418.34;False
5.59;55.02;37.09;0.03;2.85;304.24;False
2.26;40.34;34.50;1.74;2.53;-36.61;False
-2.35;39.39;38.12;1.64;0.82;199.50;False
18.21;254.93;73.00;5.43;1.80;2726.87;True
6.90;101.05;36.53;5.38;1.41;702.04;True
4.45;57.63;15.04;-0.62;3.58;354.61;True
16.36;113.07;81.36;0.08;5.09;1304.81;True
6.30;61.16;79.21;3.82;1.87;382.02;False
6.59;61.98;85.28;4.88;1.31;353.68;True
4.74;55.13;59.94;;0.93;417.84;False
1.45;57.15;23.94;3.10;1.29;338.42;False
24.17;62.94;39.17;6.37;2.49;781.96;False
4.90;37.12;11.00;-0.54;1.74;-58.41;False
5.74;17.62;67.11;4.21;1.00;483.76;False
5.89;4.41;67.21;1.53;1.69;209.04;False
5.85;61.97;68.30;-0.21;2.34;251.42;False
3.65;109.33;107.81;1.60;;407.14;False
7.40;74.17;38.13;0.45;1.14;731.89;True
4.39;62.66;49.50;0.45;1.97;315.78;True
10.19;76.20;42.98;2.59;1.00;732.15;True
1.71;34.44;2.80;0.29;0.85;127.06;False
7.07;88.34;30.35;2.58;0.82;302.57;True
6.83;109.55;17.04;2.17;1.07;533.88;True
3.47;104.18;4.52;0.88;0.79;219.21;False
7.19;38.64;37.17;2.23;0.53;231.99;False
2.02;50.41;69.99;2.55;1.00;-48.78;False
4.47;41.59;44.75;1.24;1.23;240.95;False
5.68;36.20;61.28;1.66;0.57;5.56;False
1.72;50.57;53.71;2.21;0.99;-65.99;False
3.89;50.58;57.02;1.40;1.72;210.85;False
6.17;27.92;74.31;3.41;1.39;208.57;False
4.25;74.70;28.87;1.08;0.85;206.94;False
8.72;64.04;46.46;2.46;1.41;321.63;True
5.73;46.97;36.28;2.26;0.91;320.46;False
2.21;84.07;24.07;1.98;1.08;195.99;False
1.42;44.52;-11.22;1.89;1.19;168.98;False
5.11;13.81;31.80;1.08;0.45;-92.26;False
6.34;41.64;78.05;1.14;1.29;239.59;False
5.66;68.36;28.57;3.51;1.19;443.25;True
1.99;-4.39;43.40;1.18;1.21;230.21;False
5.19;43.50;41.38;1.19;0.79;181.44;False
5.82;63.65;32.38;0.16;1.59;336.93;True
3.55;47.73;39.52;4.11;1.04;88.27;False
8.29;14.39;-0.77;1.79;0.71;-25.33;False
2.72;109.60;84.93;1.28;;487.29;False
4.92;48.55;59.23;3.22;2.22;215.61;False
4.24;40.03;23.30;2.96;0.69;473.17;False
4.03;77.65;52.25;3.71;0.42;215.02;False
9.14;51.60;27.78;-0.35;3.21;182.07;False
5.15;18.70;28.07;0.72;0.64;133.43;False
3.00;15.18;67.26;3.12;1.06;-48.04;False
3.50;44.96;50.58;4.10;1.21;-51.88;False
8.40;17.72;69.62;1.02;0.28;454.80;False
6.53;72.94;65.35;3.98;2.44;517.24;True
5.58;120.40;36.79;0.77;3.55;650.78;True
4.86;79.44;29.15;1.64;2.42;327.71;False
4.82;41.82;25.66;-0.83;0.92;331.91;False
15.14;168.44;86.02;5.96;1.88;1236.40;True
2.80;6.34;-26.38;3.40;1.28;62.68;False
3.45;110.93;38.61;2.36;1.10;428.87;False
7.19;38.87;26.96;1.88;0.50;600.05;True
6.67;101.14;54.45;2.18;1.67;;True
3.05;54.56;8.69;0.82;0.89;280.32;False
3.42;67.01;13.12;4.35;2.09;400.84;False
7.58;;37.46;3.98;1.01;575.30;True
9.78;38.76;69.68;2.85;1.26;379.68;True
4.52;90.06;57.30;0.05;;391.52;True
4.42;60.54;31.06;5.11;1.46;373.94;False
7.20;134.20;48.56;0.02;4.52;1098.36;True
5.30;15.24;34.95;0.70;0.42;-8.81;False
6.85;53.78;8.50;-0.11;3.42;379.92;False
6.84;;24.28;3.19;0.94;277.40;False
3.21;81.83;45.56;0.45;1.16;196.43;False
5.41;43.48;34.17;2.38;0.89;303.59;False
1.20;70.97;69.07;3.19;1.89;-21.31;False
4.33;13.11;12.37;1.76;0.92;286.99;False
1.00;58.93;84.19;4.07;2.88;-42.52;False
2.66;88.75;;2.31;1.79;449.16;True
8.82;74.97;81.68;;0.23;170.95;True
6.30;80.90;85.57;3.76;0.43;369.49;True
1.96;162.40;;2.22;1.27;138.46;False
5.17;99.82;43.91;4.62;1.02;615.54;True
3.60;-31.37;71.91;0.44;1.89;122.45;False
11.56;98.67;88.30;0.45;4.68;596.21;False
6.33;106.50;39.33;4.77;0.50;694.28;True
15.40;40.39;9.33;7.75;0.38;139.28;False
6.95;20.22;107.39;1.16;1.02;318.41;False
4.44;14.79;21.41;4.82;1.45;189.58;False
8.48;64.25;77.22;-0.41;2.40;533.08;True
3.16;15.61;34.72;2.26;0.93;80.67;False
4.61;99.72;73.18;-0.22;2.07;511.90;True
8.50;97.42;29.47;3.50;1.25;758.07;True
5.73;101.64;34.51;0.85;1.20;714.97;True
3.68;79.02;65.11;0.16;0.62;338.65;False
3.59;81.52;65.60;3.22;2.58;174.51;False
7.64;93.40;12.88;0.24;2.32;851.63;True
2.99;13.61;28.10;2.99;1.06;-7.43;False
5.37;81.59;17.42;2.43;1.04;557.20;True
6.30;96.58;60.62;0.02;2.86;574.10;True
3.19;50.13;76.42;0.01;1.96;346.25;False
2.83;4.78;28.03;2.65;0.87;-86.86;False
5.58;58.01;29.15;2.40;1.21;117.30;False
5.45;67.75;-16.72;4.15;2.08;6.47;False
6.77;28.44;26.86;2.84;0.92;228.71;False
6.51;88.12;48.11;0.42;1.94;538.94;True
0.50;57.83;69.93;4.32;1.63;207.55;False
4.06;51.81;23.00;1.48;1.27;481.33;True
5.52;45.69;52.96;1.56;1.54;276.42;False
6.86;69.44;-2.00;4.70;0.94;545.24;True
2.89;74.42;21.65;0.87;0.61;473.75;
7.41;125.32;58.74;3.86;1.17;931.43;True
3.35;-2.88;51.27;5.43;0.97;;False
8.70;127.22;44.85;1.74;1.86;1055.45;True
4.77;110.39;24.02;4.83;1.03;549.90;True
9.45;57.76;57.47;0.81;1.49;478.92;True
1.26;72.70;55.55;1.19;2.00;412.89;False
;39.41;49.67;0.79;1.07;50.50;False
4.38;20.73;-5.72;0.91;2.02;;False
3.68;77.74;45.43;-0.12;3.89;216.01;False
1.35;65.31;59.49;2.95;0.76;-52.82;False
8.48;61.99;47.40;0.99;0.51;292.05;False
3.77;48.63;21.49;0.14;2.99;101.59;False
10.64;69.84;47.20;1.90;1.03;639.08;True
-0.18;47.28;58.09;0.08;2.50;55.08;False
4.53;68.91;47.53;1.38;2.37;196.41;False
3.31;60.11;64.01;2.66;0.90;384.28;False
4.54;35.58;26.33;5.93;1.15;-53.05;False
3.35;20.22;19.07;0.73;2.01;93.25;False
5.73;71.05;63.22;4.01;1.45;427.14;False
4.31;40.97;30.83;5.64;0.97;122.80;False
5.38;30.13;54.74;-0.61;2.44;106.22;False
3.38;52.53;25.60;1.99;1.16;234.20;False
6.26;78.99;19.64;2.61;0.97;891.66;True
5.06;42.83;44.34;2.58;1.20;260.83;False
15.22;95.08;101.49;0.82;3.41;;False
1.79;87.17;44.00;-0.11;3.71;59.32;False
6.66;95.53;60.80;1.26;2.76;636.82;True
6.99;54.95;35.25;2.02;1.75;372.44;True
7.31;67.92;37.76;2.12;1.70;663.79;True
1.24;20.27;50.22;1.58;0.92;118.45;False
7.31;108.39;41.01;3.16;1.13;777.51;True
6.44;8.03;30.51;2.99;1.39;264.01;False
7.43;82.21;48.29;2.00;1.97;561.58;False
6.07;68.35;37.40;0.64;1.18;435.54;False
16.25;86.52;57.16;5.01;1.20;1303.98;False
4.25;65.04;45.73;2.06;2.00;236.67;False
4.19;103.14;13.56;2.36;1.87;231.95;False
3.38;55.36;93.73;-0.17;1.11;424.93;False
5.18;66.07;32.54;1.39;1.16;338.96;False
5.18;1.62;31.38;1.81;0.73;10.44;False
8.31;76.13;44.32;-0.42;1.34;452.56;True
14.21;138.87;97.06;4.53;1.47;1078.43;True
5.04;69.38;16.63;1.52;1.35;147.51;False
5.77;12.13;53.48;0.80;1.94;0.00;False
5.28;69.64;-16.02;2.28;1.12;144.11;False
4.45;128.68;50.18;3.49;1.25;752.51;True
6.08;34.13;54.11;5.53;1.19;9.77;False
6.53;60.91;50.53;0.13;1.99;548.52;False
1.64;86.37;23.97;0.16;2.70;113.96;False
5.87;16.12;36.61;1.25;1.29;-29.87;False
3.12;61.19;40.32;0.99;0.65;262.97;False
2.32;71.49;-4.58;5.13;1.85;133.44;False
6.31;46.51;34.72;3.40;0.74;301.28;False
3.95;95.63;43.51;4.31;1.43;386.62;False
3.89;106.47;23.76;0.51;2.76;206.76;False
2.84;46.95;70.26;1.29;1.63;42.07;False
6.40;46.90;32.79;4.51;1.26;245.37;False
5.05;137.90;38.69;2.19;1.31;594.12;True
8.30;70.69;79.59;-1.45;1.99;244.55;False
6.11;104.34;73.25;2.98;4.11;620.10;True
4.02;74.71;87.18;1.57;1.08;354.97;True
7.60;93.13;22.91;0.50;1.38;363.82;False
6.60;44.78;34.46;1.33;1.48;222.94;True
4.17;83.09;0.48;3.36;2.23;373.91;False
;64.33;27.12;4.41;0.97;112.06;False
1.87;42.64;43.78;0.43;3.30;205.36;False
4.37;9.03;14.84;2.23;0.74;-135.17;False
5.05;93.86;74.99;2.43;0.65;817.20;True
6.62;67.63;64.64;3.77;1.30;196.67;False
0.34;94.55;29.68;3.29;1.17;171.99;False
6.97;64.47;27.53;3.70;1.10;694.32;True
2.35;66.68;50.27;2.36;0.42;216.84;False
5.99;24.94;35.15;5.68;0.92;165.50;False
6.40;8.72;22.38;1.42;0.43;117.85;False
8.20;18.65;57.54;1.02;0.25;19.00;False
2.13;61.46;33.73;2.23;0.78;-28.06;False
1.83;91.65;63.63;1.71;1.78;305.19;False
7.57;64.32;76.21;;2.29;762.03;True
8.01;62.31;45.37;4.38;0.90;214.01;True
7.66;42.59;45.72;0.08;1.17;434.69;False
2.97;79.42;60.42;4.68;0.81;338.36;False
4.33;19.13;16.65;3.52;1.44;12.78;False
4.67;94.63;51.95;4.06;1.14;197.78;False
3.23;78.95;41.34;3.98;1.55;354.01;False
2.75;-49.24;59.26;2.99;0.99;216.74;False
5.88;95.21;73.64;2.09;1.69;559.64;True
9.45;31.11;45.78;-0.95;2.05;328.75;False
2.18;102.16;13.92;2.04;1.26;475.96;False
5.06;57.98;15.96;2.63;2.10;383.19;False
8.20;84.22;60.12;0.16;1.22;543.90;True
7.37;139.23;128.98;3.09;1.09;867.72;False
10.52;8.05;41.51;3.10;1.07;359.76;False
6.27;11.25;31.43;2.36;1.62;73.41;False
5.12;31.63;57.28;1.67;1.32;107.87;False
7.34;70.19;29.89;0.42;2.31;206.18;
7.47;43.33;38.55;2.72;0.86;214.61;False
6.29;92.94;39.97;0.01;2.09;716.60;True
6.57;61.97;80.74;2.55;1.54;184.09;True
3.06;58.66;-6.52;-0.45;1.64;237.80;False
8.19;36.26;25.13;2.53;0.81;265.75;False
13.20;140.98;40.72;5.11;1.32;1041.82;True
3.96;39.93;27.08;1.40;0.80;393.18;False
8.38;74.81;62.60;1.25;1.32;532.03;False
3.46;111.02;63.44;2.62;3.89;407.06;True
3.00;65.13;73.91;5.70;1.24;23.30;False
6.16;42.81;24.54;1.54;1.64;244.96;False
6.70;67.12;51.42;0.68;2.21;193.57;False
2.86;18.18;55.26;0.88;0.50;226.65;False
6.71;81.03;42.43;1.51;2.65;511.87;True
2.54;63.89;35.95;3.30;1.14;76.95;False
8.18;89.53;76.74;0.44;3.10;794.24;True
2.12;109.32;-3.79;1.91;0.90;328.92;False
7.72;64.54;90.16;2.10;1.30;355.99;False
6.42;77.83;50.44;2.16;1.35;335.94;True
7.91;18.97;38.89;1.56;1.39;355.20;False
5.29;77.05;29.45;1.59;1.09;432.70;True
2.67;59.08;30.98;1.25;0.89;270.75;False
7.14;66.50;33.30;-0.19;1.85;453.18;True
4.73;63.07;54.89;1.65;0.82;269.60;False
5.60;46.27;15.59;0.62;1.16;371.06;False
9.23;-10.10;36.48;3.03;1.26;45.02;False
6.60;61.85;59.82;2.96;2.28;314.78;True
5.46;-26.23;51.24;3.01;0.79;-63.92;False
3.78;122.73;30.96;0.30;1.43;627.20;True
6.66;45.47;47.04;2.23;1.57;-104.20;False
0.38;88.34;71.48;1.98;0.36;210.08;False
4.22;66.40;64.91;3.30;1.06;174.19;False
7.44;58.07;25.66;0.22;1.43;220.65;False
1.48;42.97;59.56;0.16;1.79;292.05;False
5.20;60.37;33.81;0.27;2.26;121.97;False
5.03;32.12;22.70;0.90;1.35;117.14;False
7.77;134.62;63.98;3.28;1.66;881.89;True
6.60;19.98;18.28;1.01;1.51;0.37;False
7.87;49.30;33.53;2.23;1.48;575.11;True
5.94;37.85;54.52;2.27;0.88;147.61;False
5.84;88.80;80.42;2.80;2.79;255.93;True
2.89;43.53;44.94;3.86;1.14;359.55;False
4.86;79.78;16.92;3.50;1.67;507.17;True
3.49;62.55;29.94;3.73;0.76;-118.94;False
3.53;55.08;62.72;4.43;0.43;64.34;False
6.93;36.98;16.74;3.30;1.19;372.21;False
5.86;50.19;40.99;0.16;2.30;408.09;False
7.37;40.99;84.81;1.40;0.92;292.68;False
1.23;28.39;43.69;2.02;1.18;225.94;False
5.27;77.79;35.01;0.28;2.39;625.90;True
5.25;73.58;42.25;2.37;0.71;542.32;True
4.41;71.78;69.91;3.36;0.59;260.88;False
5.66;27.92;;0.65;0.69;287.79;False
1.02;71.60;51.82;2.68;1.46;108.70;False
1.66;-12.04;55.12;2.68;0.97;33.43;False
1.77;40.40;-0.78;0.87;1.00;273.93;False
2.11;62.92;5.73;-0.15;1.16;44.20;False
4.42;43.34;48.34;1.59;1.14;267.90;False
2.08;98.67;19.17;1.17;1.62;-116.80;False
6.75;43.08;34.10;1.08;0.67;352.13;False
9.09;120.86;43.47;1.57;2.19;1053.92;True
6.54;15.33;40.44;1.44;0.82;190.91;False
3.09;34.03;40.96;1.43;1.41;69.53;False
2.56;59.37;65.91;5.55;1.35;130.67;False
2.68;50.31;51.84;2.36;0.96;227.83;False
5.20;27.92;49.33;6.26;-0.17;227.44;False
9.97;149.79;81.69;-1.62;4.19;1700.26;True
8.97;56.57;79.60;1.73;0.74;475.48;True
2.06;0.92;52.96;-1.15;0.50;58.40;False
3.69;56.01;2.82;2.50;0.86;181.54;False
8.38;31.18;52.62;-0.17;0.67;555.14;
5.36;30.16;60.48;1.01;1.08;257.78;False
3.65;37.16;38.93;0.40;2.75;146.99;False
7.81;84.84;;2.01;3.03;601.79;True
7.83;109.38;11.39;3.05;0.38;825.36;True
6.31;66.48;23.23;-0.75;1.69;323.68;False
1.66;64.92;33.89;4.04;0.95;257.44;False
10.61;98.88;87.58;0.47;2.80;975.22;True
3.90;41.79;25.24;5.22;1.43;9.78;False
6.15;115.08;28.51;3.32;1.08;788.00;True
5.42;16.87;48.80;1.27;1.10;185.44;False
3.47;74.93;9.32;2.92;1.29;426.75;False
2.82;60.49;32.65;-0.47;0.70;176.07;False
3.24;24.48;63.24;3.21;1.33;-42.77;False
6.26;28.26;32.88;2.01;1.59;295.20;False
0.31;62.49;28.15;2.40;0.92;150.80;False
12.57;122.69;53.47;2.23;3.20;958.01;False
4.65;;32.18;1.93;0.91;540.83;True
4.33;74.41;49.05;1.93;1.14;298.94;False
4.30;64.87;42.13;2.00;1.42;403.01;False
6.16;98.85;;0.61;1.76;589.90;True
12.96;94.49;59.28;2.02;2.63;193.62;False
3.06;50.71;11.98;0.21;1.26;92.78;False
2.00;85.15;58.50;5.38;1.69;227.92;False
5.79;57.18;59.94;2.62;0.71;141.47;False
4.69;98.07;10.56;2.61;0.56;758.95;True
6.03;69.08;57.15;0.55;2.17;600.26;True
6.07;60.91;61.19;-0.22;1.37;367.07;False
3.57;11.63;16.59;-0.89;0.43;-193.05;False
0.51;67.20;43.36;0.04;2.35;55.08;False
3.79;149.51;38.06;1.55;3.20;539.85;True
8.13;100.45;58.95;9.39;1.43;816.93;False
6.83;77.03;61.71;1.38;2.09;241.32;False
1.25;58.73;44.81;-0.54;1.02;199.23;False
6.87;89.15;107.40;2.70;1.85;610.30;True
4.91;102.42;86.32;-0.71;2.17;641.25;True
6.72;48.92;42.05;0.44;1.02;269.18;False
4.83;47.20;102.89;2.70;1.41;475.55;False
6.77;115.58;31.90;4.06;1.56;546.57;True
5.90;27.49;21.48;1.18;2.34;173.27;False
4.66;95.55;53.95;4.29;0.56;366.40;False
6.44;65.76;61.10;1.91;2.18;283.33;True
2.58;84.84;36.03;6.34;0.92;211.70;False
8.35;31.89;61.10;2.04;2.23;347.84;False
3.15;23.96;34.34;2.37;1.44;130.38;False
6.11;53.61;73.79;3.69;3.66;438.41;False
3.50;18.27;48.56;2.02;3.15;-103.07;False
2.29;24.06;50.10;4.25;2.09;-125.11;False
7.20;67.20;24.39;4.56;1.43;341.19;False
6.05;50.31;71.22;1.09;4.12;294.26;False
-0.20;96.82;41.51;0.21;1.41;-12.20;False
1.01;46.63;18.33;3.01;0.90;177.14;False
4.08;116.43;45.16;1.34;1.92;508.37;True
4.65;-6.82;44.49;1.60;0.42;-205.00;False
4.39;62.03;21.62;1.98;1.63;643.91;True
4.77;73.27;51.71;2.87;2.15;385.74;True
7.44;203.70;71.02;-1.35;3.97;797.40;False
8.39;;43.55;4.13;1.22;538.48;True
4.55;72.55;-5.76;0.94;1.31;205.92;False
7.76;157.78;98.65;6.72;0.47;1898.80;True
2.46;25.13;45.70;-0.16;0.61;-67.21;False
4.56;46.42;54.75;1.83;0.64;131.01;False
8.48;21.77;21.20;0.14;1.18;154.89;False
6.77;104.80;-1.55;-0.87;0.98;421.05;True
0.69;36.27;27.56;1.82;2.18;189.20;False
9.33;-5.04;33.19;1.34;0.85;-65.61;False
2.84;44.05;25.77;2.33;0.69;-46.92;False
-0.37;12.78;59.54;1.53;1.76;-202.77;False
3.93;81.09;46.65;-0.60;4.09;339.73;False
2.12;39.41;13.75;-1.33;1.07;112.47;False
11.17;211.99;79.65;1.33;3.12;1474.25;True
2.16;66.42;54.70;1.99;1.65;63.00;False
3.41;79.08;24.25;1.47;2.15;269.27;False
7.47;49.30;83.46;-0.22;1.48;732.28;True
8.75;59.73;63.18;1.60;0.20;508.08;True
6.36;-1.18;55.68;3.52;1.13;152.59;False
5.44;84.63;38.36;;2.53;700.08;True
