pm25;no2;trafico;viento;contaminacion;alerta
45.25;149.42;207.80;8.48;264.69;False
55.40;27.51;71.85;4.07;164.17;True
36.93;42.17;62.41;1.78;130.30;False
75.16;62.13;45.48;4.72;175.03;False
9.64;34.72;57.67;3.05;70.94;False
45.29;53.80;67.00;2.30;138.78;False
80.50;37.00;88.39;2.52;162.70;True
46.12;56.65;80.21;3.01;152.01;False
66.84;54.52;51.72;2.53;123.71;False
37.31;59.20;84.72;3.38;176.46;True
60.91;5.88;49.56;1.50;100.64;False
49.68;59.10;40.65;3.66;121.58;False
64.15;-6.31;37.97;2.98;104.82;False
41.89;45.43;48.65;1.59;100.71;False
-6.14;-5.95;50.97;2.79;-7.93;False
40.67;27.67;67.11;3.84;137.27;False
77.08;30.88;73.21;7.70;154.90;False
39.20;36.70;81.80;4.24;126.05;False
39.78;52.32;50.60;3.81;147.28;False
81.15;56.96;65.40;3.04;193.27;True
64.00;35.02;21.00;3.02;129.01;False
52.36;17.76;50.10;2.32;111.26;False
37.39;11.55;37.68;3.93;110.27;False
44.45;16.11;35.59;3.28;94.05;False
86.03;22.76;65.39;2.51;173.82;True
40.68;22.83;78.07;3.06;141.21;False
56.05;49.15;65.12;3.22;148.41;True
45.05;44.44;94.82;2.78;156.67;False
54.40;74.86;38.88;1.02;168.20;True
86.14;26.88;27.80;2.29;121.47;False
72.74;38.54;58.51;0.67;163.11;False
90.76;34.03;63.28;3.91;182.75;True
84.60;44.14;74.78;1.65;154.93;True
54.20;45.45;28.50;2.54;119.45;False
30.95;34.36;73.52;2.69;145.82;False
46.78;51.56;34.64;2.13;156.53;False
66.31;18.64;69.13;3.92;140.33;False
46.50;49.63;81.15;1.53;181.98;True
48.56;29.20;32.69;1.58;84.99;False
55.33;16.62;61.33;3.60;116.79;False
26.61;52.45;39.29;3.71;115.79;False
47.28;40.11;79.75;1.85;181.43;True
93.18;39.61;53.76;1.56;174.88;True
56.73;60.43;72.71;3.10;141.10;True
-12.00;45.34;57.20;2.69;95.96;False
64.07;59.65;74.03;3.94;143.88;True
67.15;41.17;50.29;1.07;157.38;False
43.08;58.43;20.80;2.88;113.68;False
18.01;51.33;38.39;2.81;113.96;False
71.32;27.27;57.67;1.97;118.80;False
46.52;25.00;29.35;3.14;77.43;False
36.17;27.42;42.27;4.06;91.89;False
84.24;31.92;43.94;0.81;146.13;True
39.50;33.19;59.23;2.09;98.36;False
43.48;46.00;31.91;2.28;132.16;False
40.47;46.74;67.57;2.55;158.09;False
27.52;39.32;53.46;1.30;92.64;False
128.49;110.77;193.55;4.36;315.36;True
68.78;25.99;64.61;3.24;127.31;False
46.86;40.59;95.57;2.31;169.99;False
20.83;34.29;33.84;2.17;37.33;False
;34.00;87.57;4.28;160.80;False
26.74;17.45;87.21;1.72;154.16;False
41.88;15.14;104.67;3.10;168.10;False
67.05;7.69;60.92;2.85;104.05;False
57.87;26.35;47.43;2.57;150.85;False
101.39;74.25;146.42;8.52;190.34;False
167.76;67.06;198.30;7.62;222.02;False
11.30;22.81;89.09;3.25;156.19;False
66.54;10.79;48.82;1.85;102.20;False
72.25;56.12;38.93;2.99;189.48;True
46.54;42.11;51.13;1.95;146.50;False
84.54;31.06;100.99;1.93;185.51;True
54.71;45.20;94.62;3.42;175.59;True
4.58;35.89;46.43;1.04;107.37;False
39.67;59.50;54.10;3.20;150.36;False
11.77;69.19;101.21;0.15;178.12;True
79.04;28.04;43.95;2.30;124.26;False
45.21;23.05;58.56;1.78;124.38;False
60.03;;48.99;2.86;139.52;False
85.95;40.10;70.54;1.79;191.75;True
49.99;67.42;107.51;0.79;224.79;True
31.48;16.43;103.37;0.85;173.84;False
69.04;51.66;45.90;4.29;135.14;False
39.01;27.82;56.96;3.73;83.17;False
36.45;52.19;88.58;2.57;168.38;True
54.35;23.20;48.12;2.90;100.81;False
102.78;44.07;32.96;3.64;158.84;True
34.38;31.46;50.05;3.87;138.34;False
43.35;;29.05;3.82;96.23;False
76.68;56.61;51.97;3.29;196.41;True
38.42;12.82;80.73;3.03;121.09;False
34.01;10.66;39.89;2.38;100.84;
59.66;29.62;52.69;6.43;161.26;False
36.40;17.63;79.31;0.89;101.61;False
65.07;41.14;88.83;3.19;194.87;True
33.98;25.03;41.10;2.98;75.59;False
70.86;28.16;35.78;4.58;128.75;False
88.58;36.51;79.88;1.21;193.79;True
73.49;38.03;46.39;;108.90;False
111.22;50.70;83.31;3.09;232.07;True
20.23;25.78;70.50;4.03;126.15;False
0.54;38.71;68.73;2.31;112.30;False
15.29;36.95;57.03;2.43;79.37;False
49.09;27.04;75.42;1.40;160.41;False
55.41;46.85;61.65;2.33;107.60;False
43.92;55.91;41.11;4.33;112.07;False
78.86;29.90;75.68;3.32;154.89;True
47.56;27.61;87.62;3.48;162.03;False
57.55;44.15;27.72;4.06;128.96;False
35.00;66.17;53.34;2.40;146.55;False
62.82;60.53;50.23;5.11;143.24;False
18.57;43.94;80.99;4.56;104.32;False
43.39;56.08;63.43;1.99;146.06;False
71.80;39.90;74.60;3.10;192.69;True
54.65;32.99;33.01;2.28;133.80;False
48.54;30.28;50.99;2.17;131.92;False
36.77;28.73;102.38;0.96;183.35;True
76.59;32.71;47.35;2.80;98.39;False
48.05;33.69;57.58;1.73;125.80;False
52.28;21.09;64.75;2.57;126.86;False
44.47;26.67;62.36;2.12;148.66;False
70.96;57.60;25.31;3.33;120.10;False
66.90;36.19;8.38;3.73;104.91;False
85.65;80.97;74.41;1.45;215.26;True
38.61;23.18;101.58;2.95;140.39;False
84.44;22.41;72.78;3.79;123.21;False
44.81;58.85;41.12;1.17;173.00;False
44.34;78.05;73.89;2.71;162.74;True
3.25;44.45;102.65;3.27;;False
47.46;18.27;81.43;5.31;105.43;False
70.18;30.34;69.85;4.06;179.37;True
54.65;18.11;49.03;2.97;122.42;False
37.26;53.11;77.15;2.44;145.31;False
55.06;40.51;22.99;1.32;126.67;False
-10.89;9.43;57.46;1.41;24.07;False
48.49;50.53;53.37;3.69;152.95;False
56.59;56.16;55.29;1.79;113.95;False
34.50;28.16;68.32;1.84;109.51;False
66.83;24.06;100.86;0.80;187.50;True
33.61;34.35;81.76;2.00;149.66;False
12.75;66.79;74.54;3.04;132.50;False
77.12;36.67;39.69;3.75;129.93;False
70.34;43.90;36.05;2.37;147.87;False
90.53;85.74;65.33;4.14;231.10;True
24.52;38.88;52.63;2.61;106.56;False
73.45;32.25;62.73;3.42;108.06;False
49.74;49.71;59.95;3.80;135.77;
69.78;64.36;87.04;2.63;190.79;True
61.02;55.09;52.36;0.40;146.05;True
77.40;38.49;107.06;2.73;201.60;True
50.12;51.95;48.97;3.61;118.71;False
67.96;65.65;100.98;3.96;175.81;True
70.37;55.10;67.46;0.43;203.88;True
58.64;31.26;74.76;2.43;118.39;False
44.56;66.03;50.19;1.28;118.03;False
;64.13;53.60;3.28;147.11;False
31.15;27.16;72.03;3.31;137.22;False
32.32;30.74;37.01;4.16;107.32;False
73.79;36.75;53.35;3.14;130.09;False
163.00;145.89;149.59;7.67;241.86;True
47.57;36.16;87.36;0.71;137.66;False
34.50;59.47;28.97;2.74;101.63;False
56.08;3.81;107.99;4.36;144.13;False
30.13;42.40;92.81;4.52;149.47;False
36.83;41.46;71.05;;145.25;False
36.01;22.37;31.34;2.49;72.66;False
50.85;28.57;95.65;1.65;170.27;True
62.75;35.32;84.31;2.47;170.93;True
53.36;42.50;54.99;3.28;158.65;False
48.13;78.17;99.97;1.31;184.99;True
42.60;39.15;67.16;3.61;112.42;False
90.90;54.24;42.06;2.83;190.24;True
56.64;28.66;76.69;1.57;136.37;True
20.00;28.19;81.86;3.13;122.41;False
19.84;48.97;46.17;4.67;118.59;False
50.56;31.47;-3.53;4.60;46.31;False
65.75;56.18;56.88;2.96;157.31;False
40.43;57.84;71.69;1.99;169.77;True
35.78;44.02;72.32;2.29;151.85;False
57.25;42.80;73.78;3.36;133.45;False
52.45;46.60;92.04;1.43;164.79;True
46.91;56.28;56.65;3.37;133.19;False
69.71;39.25;61.15;3.65;112.98;False
65.59;38.32;46.24;1.73;105.43;False
54.88;43.20;65.41;3.31;129.80;False
56.82;40.59;46.66;3.80;118.30;False
68.14;46.81;59.72;3.61;155.31;True
119.11;40.67;180.59;2.81;287.84;False
62.58;36.37;37.59;4.97;122.15;False
70.79;36.21;69.89;0.64;177.29;True
32.52;53.29;92.24;3.16;158.22;True
47.77;32.44;58.68;3.48;105.58;False
94.70;57.80;76.78;3.53;154.62;True
24.50;95.68;75.18;2.96;135.85;True
78.96;52.37;40.21;2.34;156.52;False
43.23;30.51;71.61;4.71;107.87;False
21.31;53.35;54.51;4.27;103.64;False
57.97;36.89;69.59;3.15;154.57;False
78.79;9.41;80.26;1.25;152.25;False
41.44;33.84;78.13;4.36;139.81;False
20.25;41.21;74.29;2.38;148.39;False
34.15;30.10;86.98;2.12;163.56;False
67.11;83.26;119.54;9.41;79.41;False
83.76;21.05;72.39;1.77;156.59;True
61.08;65.17;53.52;4.15;157.10;True
47.01;28.02;85.57;1.78;142.14;False
36.71;46.16;81.35;3.61;150.18;False
29.26;50.45;55.62;1.37;111.34;False
186.34;158.12;97.62;4.83;270.75;True
93.27;23.32;88.80;4.93;168.94;True
139.95;82.78;115.45;9.86;198.56;False
-12.31;62.41;57.17;1.30;87.68;False
39.02;29.36;83.83;2.25;123.08;False
35.68;23.97;88.42;3.70;142.54;False
17.26;17.33;68.09;2.91;100.75;False
95.55;8.01;79.84;1.35;195.95;True
37.69;7.17;47.91;4.32;100.09;False
53.08;48.11;58.84;2.97;144.97;False
25.69;21.90;71.46;4.48;139.77;False
60.73;10.84;48.38;3.88;116.76;False
30.84;23.86;51.53;4.01;102.28;False
12.30;51.47;65.50;3.76;141.95;False
78.02;49.78;19.04;3.01;122.84;False
45.24;70.16;17.32;3.11;128.29;False
46.40;43.83;;3.47;192.26;True
33.13;29.83;51.69;3.23;107.66;False
38.17;50.53;102.10;3.61;138.39;True
50.78;46.97;58.31;2.02;167.00;False
29.22;34.99;80.91;3.39;86.94;False
64.91;56.95;60.62;4.08;191.25;True
47.81;50.06;103.68;1.05;151.28;True
5.39;31.89;48.25;1.87;126.78;False
60.45;20.71;69.11;3.62;99.30;False
56.19;53.45;72.92;2.85;143.34;True
64.73;;65.55;2.19;140.96;True
-0.73;23.88;41.65;4.79;80.20;False
37.54;37.77;81.50;3.35;119.58;False
28.63;57.46;65.38;1.24;139.69;False
75.70;66.63;76.59;2.72;162.24;True
99.44;38.34;49.18;1.74;211.24;True
41.42;21.35;69.34;4.18;110.18;False
10.85;22.10;80.83;3.10;94.47;False
29.58;57.52;98.54;1.54;160.58;True
13.32;25.69;37.25;3.13;64.22;False
38.76;38.10;74.63;3.13;75.25;False
50.13;67.22;50.80;4.37;156.87;False
65.67;57.97;71.08;2.55;151.10;True
30.01;56.76;82.66;2.15;147.51;False
25.12;41.35;75.09;2.27;127.77;False
21.58;18.58;42.74;2.75;102.52;False
110.41;57.39;70.12;0.90;228.44;True
13.83;35.20;78.41;3.19;123.22;False
10.21;39.16;106.78;1.51;139.73;False
3.61;36.76;88.13;2.34;160.61;False
7.50;48.56;37.11;1.76;93.85;False
18.50;26.45;81.67;2.83;156.33;False
48.82;52.88;67.46;0.67;158.75;True
80.85;41.33;53.94;1.57;137.36;False
45.23;44.77;24.55;3.44;126.59;False
93.52;27.75;;1.23;165.81;True
50.96;46.45;94.41;2.61;144.18;True
8.29;46.11;166.80;6.23;147.58;False
36.86;58.85;57.32;4.35;131.75;False
73.71;44.31;82.37;2.12;156.71;True
47.79;36.98;15.12;0.61;105.60;False
24.13;68.44;52.74;2.57;144.85;False
24.53;57.26;85.48;1.78;132.01;False
51.33;34.38;123.45;3.08;150.85;True
39.43;42.81;77.11;4.76;108.50;False
67.71;30.23;42.62;2.22;170.26;False
63.94;22.10;69.01;4.23;129.53;False
75.16;29.15;61.99;2.81;132.70;True
63.82;7.17;61.78;4.31;130.93;False
17.40;37.93;53.11;5.65;111.30;False
93.70;36.85;51.16;3.03;148.98;False
84.35;58.56;35.48;3.30;125.12;True
73.92;52.07;73.11;3.70;168.49;True
27.48;53.04;57.96;2.85;112.15;False
88.84;46.00;51.57;1.48;106.12;False
41.62;34.70;38.47;2.76;96.38;False
23.43;44.70;55.05;1.30;152.16;False
49.49;61.25;47.08;2.52;138.83;True
99.32;32.42;78.60;2.41;210.44;True
211.22;118.83;200.37;7.61;324.86;True
26.66;27.57;57.39;2.79;111.15;False
64.65;37.02;20.09;4.08;87.33;False
;25.13;41.11;1.93;83.84;False
55.32;60.05;59.28;5.47;174.53;True
60.50;15.90;43.36;3.84;90.20;False
45.51;54.36;35.46;3.84;96.42;False
74.74;31.06;41.89;3.56;149.73;False
58.89;25.63;53.29;;124.97;False
63.45;40.34;70.20;3.00;141.92;True
69.33;36.83;57.23;3.98;153.29;False
8.25;13.07;62.58;2.29;68.48;False
33.62;32.29;65.71;3.80;98.69;False
90.95;15.64;79.41;0.84;230.50;True
;33.70;9.14;2.52;-23.46;False
45.18;12.44;94.24;3.41;125.63;False
36.46;38.14;32.83;2.64;110.96;False
-6.60;58.94;59.77;2.78;151.03;False
40.45;47.26;62.57;5.09;97.22;False
25.80;39.01;50.31;2.11;121.98;False
57.33;42.10;62.53;4.24;149.57;True
66.12;25.81;82.83;2.24;170.08;True
47.81;40.83;66.71;2.32;105.34;False
56.39;41.44;60.73;2.75;113.44;False
42.83;53.12;59.27;2.36;145.75;False
30.02;52.65;96.34;1.76;180.19;True
49.92;18.94;37.98;2.30;92.29;False
34.14;30.92;120.35;2.69;166.35;True
79.07;40.30;91.23;2.88;152.62;True
73.94;11.05;45.30;4.01;139.25;False
126.29;54.56;201.53;6.33;265.41;True
77.31;48.42;83.41;3.92;158.37;True
29.94;22.20;81.30;2.69;130.79;False
34.36;30.18;64.58;3.26;116.04;False
27.76;37.57;50.74;0.81;114.11;False
41.87;94.59;52.69;2.16;152.39;True
65.19;19.40;62.23;3.49;92.74;False
4.46;61.53;60.47;5.25;120.63;False
40.56;46.97;24.05;2.32;120.46;False
42.00;13.63;21.55;3.91;82.31;False
57.80;55.89;46.17;4.12;160.33;False
-16.38;27.59;54.53;1.73;78.56;False
15.06;57.22;69.63;3.17;157.21;False
176.02;186.14;154.68;7.82;292.25;True
31.00;25.11;92.33;4.81;129.33;False
54.60;39.66;46.57;4.88;105.40;False
67.13;26.82;68.34;3.67;139.10;False
55.50;71.14;70.96;1.66;187.23;True
40.00;64.96;101.05;3.22;184.13;True
85.22;133.49;218.04;9.25;257.64;
58.63;13.41;30.95;4.21;88.02;False
94.08;24.15;66.69;4.04;203.96;True
56.46;52.46;58.89;3.61;143.64;False
30.10;66.26;64.87;4.65;146.74;True
86.62;32.04;56.24;2.82;146.13;True
52.47;40.98;80.73;2.50;143.65;False
28.58;46.59;82.13;4.94;153.65;False
71.49;56.02;66.35;2.76;176.51;True
31.04;43.90;52.53;2.01;104.12;False
55.48;48.44;97.27;3.79;179.71;True
50.36;15.37;68.64;2.50;120.23;False
54.82;52.56;40.41;3.14;125.05;False
45.95;28.02;56.65;2.00;143.21;False
92.42;50.67;90.35;2.30;195.74;True
122.14;49.48;187.46;12.18;255.30;False
22.08;41.01;59.10;3.31;136.35;False
197.67;91.41;115.31;0.27;231.78;False
52.99;45.99;55.93;3.74;177.58;True
36.25;42.62;36.17;1.29;97.32;False
22.93;62.75;74.28;4.27;131.03;False
2.34;28.05;34.27;2.19;51.49;False
66.94;35.13;82.05;3.09;145.53;True
73.88;19.80;52.66;2.50;123.31;False
50.51;52.03;60.50;2.52;146.67;False
63.57;32.29;51.11;2.76;139.38;True
39.96;8.62;42.61;3.58;110.28;False
66.84;38.90;63.25;3.43;169.01;False
68.93;36.97;72.41;5.05;150.97;True
68.09;51.86;46.31;3.08;136.32;False
55.93;48.88;62.29;3.43;174.90;True
