viajes;distancia;tiempo;modo_transporte;congestion;alta_congestion
4.64;16.08;13.49;bicicleta;261.32;False
2.40;10.56;9.04;bus;-2.18;False
2.79;1.85;3.39;bicicleta;-294.75;False
0.50;6.38;28.40;bicicleta;162.40;False
5.35;5.77;29.57;caminar;183.38;False
2.20;7.24;50.80;bus;215.66;False
4.71;16.50;55.98;bus;951.87;True
4.39;3.82;13.10;;461.26;False
4.61;20.67;34.35;bus;305.51;False
4.32;7.60;38.69;bicicleta;249.63;False
2.09;-11.77;46.24;caminar;;False
2.76;21.48;27.48;bus;1028.43;False
2.32;5.32;17.31;auto;-11.78;False
2.12;-10.71;37.16;auto;-670.49;False
4.31;7.06;92.42;bicicleta;649.53;False
1.81;18.39;60.96;bus;838.35;True
3.66;25.46;26.21;caminar;14.85;False
3.96;23.92;60.29;bus;1493.42;True
3.37;9.79;10.74;bicicleta;772.40;False
1.85;8.60;81.83;bicicleta;951.63;True
1.01;5.57;70.25;otro;880.72;False
3.64;20.94;66.40;bicicleta;1031.93;True
3.86;24.40;63.86;bus;1607.84;True
2.47;28.39;70.07;auto;1571.00;True
3.06;;;bus;694.23;True
2.42;32.04;48.36;bus;2143.31;True
2.05;1.85;49.21;bicicleta;51.55;False
5.83;14.43;35.21;bus;960.62;False
2.32;28.52;-1.15;bus;-316.83;False
5.14;30.14;64.08;bus;1856.58;True
2.67;4.46;50.66;caminar;401.18;False
2.18;16.88;66.56;bus;1678.42;True
3.91;34.20;30.16;bus;386.93;False
2.22;2.47;;bicicleta;532.44;False
2.20;19.60;80.29;bus;1655.68;True
1.50;22.18;36.62;bicicleta;663.59;True
2.10;5.19;95.04;bicicleta;-1159.75;False
2.21;19.75;44.59;bus;1536.81;True
5.70;29.74;54.60;auto;2213.23;True
2.75;7.75;15.12;bicicleta;566.66;False
3.18;8.40;45.16;bus;631.45;False
2.33;-3.76;27.41;caminar;-275.80;False
2.63;19.97;85.76;bus;1712.10;True
0.96;26.41;68.34;bicicleta;513.86;True
1.95;14.60;69.63;bus;910.38;False
2.82;8.72;66.87;caminar;608.55;False
9.31;20.43;82.34;bus;;False
4.13;7.99;6.03;bicicleta;16.55;False
2.55;13.34;66.40;bus;648.96;False
0.19;5.54;4.25;bicicleta;670.45;False
3.49;5.44;50.93;caminar;225.76;False
4.31;37.26;50.97;scooter;1930.68;True
1.80;1.20;23.71;caminar;-257.08;False
4.48;2.83;26.03;caminar;96.61;False
2.24;19.87;51.77;bus;1136.26;True
3.58;19.60;24.95;metro;1145.46;False
3.59;19.59;25.70;bicicleta;176.18;False
3.05;34.21;56.99;caminar;1583.84;True
2.17;;34.12;bus;858.73;True
4.39;6.37;44.83;bus;433.79;False
2.22;21.73;63.06;bus;699.63;False
2.47;29.60;69.60;bus;2155.58;True
3.58;17.49;35.02;bus;-30.00;False
2.45;18.60;58.70;bicicleta;810.10;True
4.79;;24.39;bicicleta;-55.52;False
4.35;22.47;48.25;auto;1889.21;
4.13;-3.33;42.11;caminar;-158.40;False
4.41;17.72;34.12;bus;923.40;False
2.21;2.05;33.02;caminar;-23.87;False
1.54;21.98;45.16;bus;1270.06;True
2.66;1.16;76.37;bicicleta;847.80;False
4.53;26.47;25.68;auto;826.64;False
1.55;8.05;68.75;scooter;332.89;False
-0.87;26.92;51.56;bus;781.48;True
4.38;14.52;26.53;bus;113.10;False
3.18;21.69;60.56;bicicleta;1555.09;True
3.80;29.98;54.28;bus;508.91;True
6.11;40.87;62.73;bus;2548.05;False
1.76;-1.43;64.52;bicicleta;768.02;False
3.77;16.43;53.58;bus;964.56;False
4.14;6.97;11.59;bicicleta;-312.16;False
0.24;7.12;54.98;caminar;576.70;False
2.27;8.02;76.49;bus;976.49;True
1.83;22.90;13.42;;502.30;False
3.78;10.01;39.46;bus;789.43;False
4.04;27.56;78.61;bus;1820.05;True
2.68;11.05;20.63;bus;499.88;False
4.50;12.53;-2.11;bicicleta;334.04;False
1.82;7.23;55.99;caminar;-86.75;False
1.67;7.23;57.45;bus;263.73;False
2.66;6.41;55.02;caminar;60.19;False
2.33;-4.66;29.81;bicicleta;344.45;False
4.51;3.72;83.33;bicicleta;386.39;False
0.53;16.79;57.40;bicicleta;155.71;False
1.36;-3.91;11.66;bicicleta;-633.09;False
5.27;2.66;47.87;bicicleta;-483.48;False
3.14;15.08;77.79;bus;1636.50;True
4.31;22.97;10.00;bus;12.05;False
4.85;6.45;78.46;caminar;-246.36;False
4.74;56.11;74.41;auto;2714.42;True
4.03;25.01;48.93;auto;993.37;True
3.92;13.58;19.02;bus;875.10;False
0.67;8.75;36.13;caminar;-192.73;False
2.19;6.20;43.15;bicicleta;544.28;False
4.32;13.30;33.74;bus;680.06;False
1.24;16.13;37.58;bus;845.27;False
1.37;19.36;35.83;bus;832.78;True
2.80;15.61;43.53;bicicleta;943.06;False
2.23;15.40;45.85;bicicleta;750.34;False
2.98;24.60;36.04;bicicleta;1171.89;
2.42;21.36;4.74;bicicleta;677.76;False
3.69;18.22;9.01;bus;624.27;False
8.73;-1.07;108.31;otro;242.25;False
0.60;39.81;25.10;bus;490.76;True
4.07;17.42;49.43;bus;1278.56;True
4.01;17.26;57.88;auto;1221.51;False
4.50;18.09;60.29;auto;1110.42;True
2.95;41.72;44.63;bus;714.08;True
3.84;29.18;57.56;auto;1644.77;True
3.03;12.64;33.55;bus;454.36;False
3.90;14.24;19.06;teletrabajo;158.88;False
3.12;16.50;28.85;bicicleta;655.38;False
2.52;3.70;40.55;caminar;-491.08;False
5.45;7.28;57.20;caminar;165.16;False
1.19;2.05;8.43;bicicleta;96.14;False
2.06;10.55;26.92;caminar;-337.20;False
3.62;17.63;35.56;auto;1561.04;True
2.93;25.44;70.59;bus;1573.07;True
0.94;23.39;21.41;bus;809.15;False
3.82;29.42;23.93;bus;1212.66;True
3.21;7.59;44.32;bicicleta;341.20;False
2.80;20.74;86.40;auto;1377.83;True
3.72;-1.43;76.52;bicicleta;305.66;False
1.83;15.35;37.17;bicicleta;178.78;False
10.77;-8.16;196.59;auto;650.87;False
2.38;25.93;33.38;bicicleta;905.88;False
4.37;23.23;47.83;bus;1372.27;True
2.19;15.18;23.93;bus;106.33;False
4.01;12.46;13.55;bicicleta;214.06;False
1.73;2.18;46.11;bicicleta;578.75;False
5.72;22.78;77.50;bicicleta;1600.29;True
;11.97;48.93;bicicleta;91.20;False
11.05;27.61;-7.17;bus;-1265.15;False
4.84;6.60;63.57;bus;1136.13;False
5.27;24.74;46.45;auto;1478.26;True
3.50;6.18;29.03;bicicleta;638.96;False
0.15;22.88;27.99;bus;1131.61;True
3.08;23.31;11.68;bus;-81.88;False
2.46;2.55;42.60;bicicleta;324.47;False
10.06;27.21;44.66;bicicleta;-362.78;False
4.59;12.58;28.70;bicicleta;556.47;False
2.70;26.45;51.90;auto;1978.26;True
5.29;0.93;52.03;bicicleta;-3.04;False
1.70;9.12;60.77;caminar;272.19;False
3.05;-1.93;14.24;bicicleta;-495.52;False
2.95;3.35;53.63;bicicleta;164.04;False
1.00;24.48;50.92;bicicleta;202.00;True
3.61;17.99;40.79;auto;1061.91;True
2.02;18.65;53.31;bicicleta;498.10;False
2.87;19.37;23.21;bicicleta;-69.98;False
1.99;27.94;49.56;bus;1808.86;True
2.80;25.41;19.91;auto;592.30;False
3.64;2.95;35.85;bicicleta;148.81;False
2.36;30.88;59.42;auto;1979.88;True
3.63;18.25;27.32;bus;581.65;False
3.92;18.36;24.27;metro;618.67;False
3.53;11.80;58.80;bus;818.73;False
3.11;16.44;50.33;bicicleta;767.52;False
1.06;-7.31;20.46;otro;494.88;False
2.80;3.83;41.73;caminar;914.42;False
1.59;7.76;54.00;bicicleta;642.95;False
2.73;15.25;78.05;caminar;1570.06;True
11.46;44.56;128.62;bus;4075.09;True
4.27;4.91;71.98;bicicleta;49.24;False
3.96;3.32;23.13;bicicleta;598.93;False
1.47;6.15;30.62;bicicleta;354.21;False
3.73;23.34;45.10;bicicleta;1483.36;True
7.33;22.34;85.18;caminar;-366.45;False
0.88;-4.62;38.47;caminar;-119.67;False
2.19;22.14;32.04;bus;436.65;False
4.56;;20.95;caminar;671.55;False
4.05;-0.62;65.45;bicicleta;-861.60;False
3.67;17.17;61.64;bus;510.43;True
2.82;27.40;78.76;bus;1861.23;True
2.22;24.76;39.68;bus;660.50;False
2.86;3.40;;auto;-113.11;False
3.45;31.38;60.23;bus;1918.12;True
4.44;15.20;43.71;bus;562.84;False
2.87;36.60;30.95;auto;1233.64;True
4.24;6.91;52.48;caminar;327.10;False
2.59;-2.49;6.82;caminar;-280.15;False
4.92;11.16;85.24;caminar;679.00;True
2.08;32.94;10.85;bicicleta;779.63;False
2.91;36.04;55.22;auto;1489.36;True
2.05;13.65;38.51;bus;449.39;False
3.60;13.47;1.17;bus;17.10;False
4.26;28.95;-3.00;bus;136.21;False
2.33;23.45;60.63;bicicleta;1305.86;True
5.15;9.07;0.50;bicicleta;149.72;False
3.07;28.77;55.17;bicicleta;1679.39;True
3.07;16.33;13.51;bus;365.01;False
3.15;6.10;53.47;caminar;196.24;False
4.44;16.08;70.22;bus;851.65;True
2.17;4.18;28.17;bicicleta;10.11;False
1.58;12.62;55.95;;653.40;False
1.54;33.56;17.78;auto;1310.99;True
6.89;16.13;128.96;bicicleta;2604.83;False
5.02;5.59;72.90;bicicleta;816.85;False
3.64;41.90;47.92;auto;2384.06;True
3.30;15.97;33.59;bicicleta;716.46;False
2.50;25.78;51.48;auto;1192.71;True
3.64;4.40;16.96;caminar;-126.40;False
1.01;31.34;94.55;caminar;1730.75;True
3.86;12.42;85.38;bicicleta;1246.19;False
1.10;6.86;26.50;caminar;288.14;
3.96;21.07;54.76;caminar;612.35;False
3.48;0.42;74.62;bicicleta;1052.70;False
3.10;14.42;72.82;bicicleta;659.76;False
4.85;-15.26;99.22;bicicleta;-661.88;False
2.70;4.32;91.49;bicicleta;910.21;False
2.05;15.97;39.32;bicicleta;206.37;False
2.49;20.53;48.60;bicicleta;901.94;True
4.38;;27.57;bus;413.74;False
4.37;3.16;65.36;bicicleta;33.94;False
2.98;2.65;49.29;bicicleta;44.95;False
7.12;30.66;52.85;auto;2017.45;False
1.75;16.96;82.15;caminar;882.75;False
3.77;-5.89;40.94;bicicleta;-951.83;False
2.18;24.02;59.14;bicicleta;1366.26;True
2.75;37.84;53.22;auto;654.38;True
1.65;3.72;22.94;bicicleta;-58.35;False
3.46;25.08;89.71;caminar;1491.35;True
2.47;6.62;19.64;caminar;275.41;False
2.00;33.28;37.48;bus;1591.24;True
3.51;2.66;46.13;bus;489.88;False
3.15;17.43;10.42;bus;986.69;False
2.85;14.21;80.28;bus;1200.29;True
2.56;5.36;47.23;bicicleta;187.32;False
2.01;29.74;83.03;caminar;1578.71;True
3.00;9.77;67.12;caminar;562.60;False
3.78;6.88;78.31;bicicleta;-188.06;False
2.55;3.78;52.26;bicicleta;706.17;False
1.63;10.19;-4.83;bicicleta;-172.40;False
2.86;27.85;75.04;bus;2172.17;True
1.46;11.85;60.32;bus;1313.11;False
6.01;-11.39;124.05;bicicleta;-265.04;False
1.53;36.03;2.03;bicicleta;-177.77;False
2.97;20.66;6.02;bicicleta;-63.18;False
2.86;5.60;55.64;bus;693.07;True
3.75;15.69;59.51;bus;1347.60;True
1.60;25.73;39.21;bus;996.20;True
1.60;6.17;12.99;caminar;558.66;False
3.72;7.90;69.80;caminar;383.42;False
3.35;-7.82;28.82;caminar;-589.08;False
2.11;13.08;16.55;bus;226.52;False
2.39;9.08;65.80;bicicleta;116.49;False
1.72;-8.61;12.23;caminar;-152.96;False
2.93;18.56;66.91;bus;1600.16;True
3.92;25.28;47.37;bicicleta;896.85;True
3.08;7.71;20.60;caminar;-109.46;False
3.07;14.44;53.27;bus;891.79;True
3.71;7.23;11.50;bicicleta;-343.91;False
1.57;2.50;21.38;bicicleta;-221.05;False
3.99;2.56;22.26;caminar;339.38;False
3.43;13.60;27.40;otro;990.20;False
4.58;-5.57;21.06;bicicleta;426.90;False
1.66;2.51;52.84;caminar;-72.48;False
2.38;20.25;8.79;bicicleta;177.17;False
1.79;20.62;14.70;bicicleta;;False
3.54;8.29;2.75;caminar;635.97;False
1.17;9.83;30.26;bicicleta;895.64;False
2.62;-6.27;45.47;bus;-249.59;False
2.42;26.48;56.13;teletrabajo;1415.46;True
11.64;11.65;34.26;caminar;-168.24;False
4.21;20.68;-8.44;bus;641.83;False
5.14;14.80;70.87;bus;705.14;False
4.90;24.38;89.80;bus;3157.42;True
3.08;32.11;65.13;auto;2581.52;True
4.25;14.29;40.85;bus;719.66;False
3.67;43.60;90.30;auto;1587.54;True
3.47;20.19;51.74;bicicleta;1439.91;True
1.42;29.57;35.71;bicicleta;1293.37;True
4.30;13.07;56.73;bicicleta;1080.74;False
2.16;3.46;46.20;caminar;682.93;False
4.31;6.29;34.28;caminar;391.89;False
3.31;11.93;38.15;bus;1221.39;False
3.43;16.08;58.81;bus;930.85;False
3.06;14.37;51.58;bus;971.37;True
;5.36;30.39;bus;405.15;False
1.91;17.33;0.36;bicicleta;320.75;False
4.40;16.61;26.90;bus;647.23;True
1.19;19.80;56.46;bicicleta;1008.72;True
4.69;22.37;10.84;bicicleta;-2.26;False
3.03;-1.81;62.04;caminar;-162.46;False
3.76;1.67;78.74;bicicleta;-544.03;False
2.81;12.75;54.97;bus;806.47;True
2.27;9.13;29.46;bus;92.40;False
3.22;48.50;50.74;;2583.74;True
3.39;8.89;44.85;bus;1144.99;True
4.63;16.06;41.40;caminar;697.53;False
2.37;28.77;61.59;auto;1702.98;True
3.15;0.39;83.11;bicicleta;-1087.99;False
1.28;16.75;55.03;bus;641.61;False
3.99;10.09;62.01;bicicleta;990.73;False
2.17;23.62;71.09;auto;1831.25;True
2.10;26.74;76.06;bus;2110.83;True
4.79;22.74;49.02;bicicleta;1153.06;True
4.95;16.60;18.12;bus;390.05;False
1.40;22.04;-11.19;caminar;243.74;False
5.19;25.63;63.10;bicicleta;1339.07;True
4.51;21.22;53.89;bus;1154.52;True
4.98;10.18;54.97;bicicleta;1033.25;False
4.08;26.61;63.13;bus;1282.59;True
1.88;11.81;13.37;bicicleta;-21.98;False
2.05;4.18;51.40;auto;46.46;False
1.54;23.06;78.27;bus;1323.32;True
0.69;-6.69;36.73;caminar;-122.99;False
3.37;22.76;29.06;bus;476.86;False
3.01;26.28;32.83;bicicleta;340.56;False
2.58;-7.68;59.83;caminar;-360.93;False
2.11;6.74;81.81;bus;479.33;True
4.61;20.84;34.49;bicicleta;1126.66;True
2.86;24.22;59.64;bicicleta;591.09;True
5.20;17.94;82.65;auto;1597.66;True
2.02;43.17;24.19;auto;1377.82;True
2.42;14.32;29.44;caminar;-180.93;False
3.11;16.15;71.57;bus;1083.72;True
4.07;20.83;70.86;bus;1283.85;True
2.40;16.36;9.15;bus;54.53;False
3.42;15.59;46.21;bus;383.36;False
1.94;-0.57;40.30;caminar;303.71;False
2.82;17.39;49.63;bicicleta;;True
4.48;15.95;52.89;bicicleta;148.45;False
3.86;17.66;52.00;bicicleta;1411.81;False
1.62;-4.32;51.45;;80.45;False
2.14;14.73;31.16;bicicleta;576.83;False
4.08;18.45;74.16;bicicleta;1453.31;True
3.74;4.25;49.11;bicicleta;309.14;False
3.66;25.94;18.89;auto;727.18;False
2.81;-1.22;51.64;bicicleta;-269.28;False
2.09;38.28;31.03;auto;1257.72;
2.77;20.22;68.33;auto;996.56;True
4.63;30.66;21.01;auto;1140.91;True
2.20;16.97;46.16;bicicleta;-313.35;False
1.06;5.69;43.44;caminar;284.63;False
2.83;19.89;52.72;bus;997.03;False
3.04;26.43;53.28;bus;1947.06;True
0.74;16.27;-0.51;bus;335.22;False
2.59;13.44;;bus;546.17;False
4.30;17.01;22.66;teletrabajo;545.66;False
3.25;22.39;60.05;bus;1789.48;True
2.84;13.75;83.48;bicicleta;628.67;False
2.39;13.44;43.97;bicicleta;540.00;False
5.56;2.29;52.56;caminar;460.98;False
13.59;30.68;120.84;scooter;4263.43;True
2.19;27.60;30.24;bus;83.29;False
2.72;15.38;52.17;bus;849.54;False
5.01;30.35;67.81;bicicleta;1108.57;True
2.50;14.98;31.43;bus;330.62;False
3.64;12.25;37.41;bus;76.04;False
2.51;-17.38;63.03;caminar;-1341.72;False
4.16;16.88;50.76;bus;890.51;True
2.77;20.66;46.07;bicicleta;;False
2.91;8.85;15.99;bus;177.71;False
1.83;18.48;51.23;auto;1255.75;True
2.14;43.80;19.31;bus;1265.80;True
3.64;7.99;55.77;caminar;737.58;False
3.46;21.62;67.27;bus;1458.56;True
0.86;26.96;33.66;bus;1160.47;False
1.33;-0.17;87.40;bicicleta;45.38;False
10.03;37.53;35.00;bus;776.13;False
4.49;22.21;81.23;bicicleta;-23.15;False
2.95;8.89;-6.85;caminar;-586.73;False
1.64;17.51;78.71;caminar;96.12;False
4.03;4.82;47.24;caminar;352.07;
1.91;31.05;79.58;bus;2337.20;True
2.93;-4.76;33.62;bicicleta;132.70;False
3.41;22.83;86.96;bicicleta;940.70;True
6.03;41.54;51.81;bus;2134.87;True
2.87;19.36;32.68;bicicleta;792.83;True
2.53;3.65;96.10;bicicleta;433.45;False
;24.62;76.74;bus;1113.06;True
7.90;23.10;4.57;bus;170.58;False
1.04;28.68;24.31;auto;1098.08;True
3.29;23.12;37.13;bicicleta;1291.30;True
3.48;-0.40;57.54;bicicleta;668.39;False
0.80;10.95;33.81;bicicleta;178.02;False
2.30;10.56;29.17;bus;-130.48;False
3.68;17.09;69.13;bicicleta;1219.47;False
2.42;4.45;33.98;caminar;683.96;False
3.64;15.27;5.44;bus;691.88;False
2.85;22.52;35.42;bicicleta;873.05;True
3.13;18.17;72.95;auto;1766.75;True
3.69;22.97;;auto;461.45;False
3.23;3.98;82.52;bicicleta;657.57;False
4.06;2.28;49.32;bicicleta;751.65;False
;-10.62;85.29;bicicleta;-695.84;False
4.37;30.51;74.12;caminar;1776.90;True
4.33;12.05;29.20;caminar;-134.26;False
1.38;-2.55;44.76;bicicleta;-74.44;False
1.92;18.71;46.76;caminar;1946.30;True
3.50;13.38;49.06;bicicleta;656.47;False
1.51;32.01;24.22;auto;1296.52;True
2.38;14.84;90.61;bicicleta;1332.33;True
2.36;7.01;66.05;bicicleta;650.58;False
0.27;20.38;0.88;bicicleta;233.82;False
2.73;12.05;4.42;bicicleta;214.36;False
1.99;7.21;61.13;bicicleta;737.48;False
2.55;9.88;27.56;bicicleta;500.97;False
3.89;21.46;13.49;bus;582.40;False
1.78;26.42;-1.70;bus;117.68;False
1.35;22.40;56.50;bus;835.88;True
2.74;-0.27;89.84;bicicleta;53.55;False
4.18;-0.83;80.28;bicicleta;572.71;False
2.86;14.40;21.72;auto;-147.76;False
