horas;asistencia;tareas;retrasos;planificacion;nota_final;aprobado
2.34;79.32;70.99;2.01;3.13;4.15;True
1.10;39.45;79.91;1.94;3.07;2.58;False
3.91;51.34;83.61;0.84;2.98;4.21;True
4.03;84.14;77.41;1.71;3.86;4.15;True
4.55;75.33;89.95;0.25;3.14;4.81;True
10.35;108.69;149.71;5.26;9.86;8.07;False
13.33;135.79;250.86;2.80;6.56;8.37;True
4.87;70.17;97.09;2.16;3.21;4.88;True
4.57;66.83;82.59;2.13;3.49;4.53;True
4.54;82.87;83.98;1.70;;3.82;True
3.78;59.29;92.14;0.36;4.37;3.99;True
5.16;88.97;74.63;1.51;3.86;4.35;True
2.52;79.13;93.12;1.55;4.47;3.40;False
1.63;68.97;71.63;3.68;2.66;3.58;False
5.66;58.11;72.34;-0.36;2.73;5.37;True
4.78;72.67;85.09;1.46;3.61;5.63;True
2.36;74.27;86.24;2.37;2.45;3.20;False
4.26;63.55;73.44;1.42;3.94;4.61;True
4.95;66.99;105.01;4.11;2.45;4.45;True
4.93;67.91;87.42;1.69;2.58;4.59;True
6.07;88.59;88.41;1.85;3.66;5.18;True
2.90;77.99;99.78;-0.18;1.87;3.59;False
3.23;84.70;81.01;0.96;4.04;4.93;True
4.55;60.71;95.99;1.82;3.54;3.64;False
3.13;60.60;74.81;2.59;3.15;1.90;False
1.02;79.40;96.07;2.67;1.58;4.26;False
3.66;74.11;73.57;4.13;4.16;4.38;True
5.24;93.07;70.64;2.06;2.79;4.44;True
3.73;69.45;63.62;0.48;3.43;4.04;False
5.07;60.40;87.91;0.73;2.71;5.04;True
5.44;77.22;91.73;1.63;2.53;4.79;True
3.43;95.59;95.13;0.55;3.40;4.46;True
4.44;71.19;69.37;2.51;2.80;3.98;True
2.65;65.62;88.81;2.32;2.19;3.84;False
3.10;85.94;95.49;2.56;4.24;3.96;False
3.61;88.04;90.88;1.42;;3.71;False
3.56;88.54;74.05;2.31;2.54;4.43;True
2.99;68.06;53.88;3.76;3.23;4.01;False
2.72;63.24;96.13;1.28;2.81;3.55;False
4.28;63.80;74.87;2.94;3.48;4.78;True
5.04;95.74;83.53;2.35;4.01;4.20;True
8.61;145.33;234.37;12.52;6.08;8.98;False
3.49;66.18;77.64;2.02;3.21;3.85;True
5.09;86.12;89.24;1.78;2.68;5.30;True
3.08;90.00;67.09;1.60;3.14;3.43;False
5.63;71.15;94.46;0.15;3.62;5.58;True
2.14;76.99;78.17;2.46;1.77;2.42;False
4.96;85.48;98.25;1.74;2.90;4.81;True
5.37;64.75;84.57;0.86;1.49;3.51;False
6.19;94.06;87.51;1.66;3.06;4.77;True
2.30;86.19;84.23;2.56;2.38;3.49;False
2.15;77.16;79.87;1.21;2.70;4.32;True
5.51;74.91;85.15;2.90;2.22;4.70;True
2.64;77.70;88.71;0.32;3.93;4.35;True
3.95;55.92;75.55;0.68;4.35;4.97;True
4.59;91.11;81.27;-0.65;3.85;6.65;True
3.61;86.32;103.51;-1.26;2.43;5.22;True
4.45;94.16;81.39;0.57;2.56;4.20;True
4.91;78.62;89.05;1.29;3.58;3.76;False
12.96;108.51;216.42;5.21;8.87;6.38;False
5.57;72.63;92.95;0.18;3.20;4.42;True
2.56;86.41;104.82;4.02;3.82;5.65;True
5.66;74.38;78.92;2.08;4.16;4.67;True
4.10;78.63;94.99;4.51;2.88;4.01;False
4.40;76.77;86.66;-0.00;3.67;4.89;True
4.96;66.88;81.36;2.21;2.42;4.70;True
4.83;94.54;99.40;4.72;2.05;5.05;True
4.35;83.62;82.54;1.33;2.98;4.99;True
3.23;59.53;65.43;3.87;3.46;3.25;False
4.31;71.37;100.03;2.31;2.71;3.80;True
4.14;91.59;81.06;0.59;1.36;5.24;True
4.51;74.56;92.00;1.48;2.44;3.98;True
2.58;85.70;70.46;-0.24;3.19;4.22;True
5.63;70.05;75.14;0.92;3.48;3.26;False
2.56;70.86;107.94;2.53;1.56;5.19;True
15.89;197.89;194.52;6.29;10.49;10.08;True
4.58;55.76;87.10;1.24;3.41;4.68;True
4.26;67.85;91.56;3.27;3.26;3.96;True
4.37;86.53;99.25;0.22;2.36;5.55;True
3.22;95.09;73.03;0.65;1.44;4.63;True
4.34;60.93;66.64;3.62;2.28;;False
2.07;64.82;75.88;-0.09;3.67;3.08;False
3.62;67.60;91.73;2.01;4.57;4.05;False
4.27;69.63;92.75;-0.16;2.85;4.67;True
2.81;77.53;89.13;1.38;3.18;4.06;False
4.60;83.32;91.58;1.06;2.61;4.81;True
3.64;71.90;92.52;1.55;2.52;3.96;True
3.95;64.55;82.82;5.09;3.16;3.43;False
4.57;70.05;76.73;2.33;3.62;4.05;True
3.39;76.92;89.21;1.99;2.75;3.81;True
3.84;96.31;73.28;3.92;2.42;4.34;True
3.89;72.42;71.86;2.04;3.25;3.82;True
4.07;72.49;102.71;1.63;3.92;5.37;True
4.57;67.43;90.85;1.83;2.28;5.57;True
3.87;67.46;90.84;0.67;3.54;4.51;True
4.49;78.03;83.75;3.44;2.53;4.01;False
5.37;127.87;234.96;6.80;7.72;8.00;True
4.58;90.88;103.23;1.13;3.70;4.13;True
5.09;47.07;65.14;2.93;2.74;2.82;False
13.14;122.02;175.14;3.08;8.99;8.08;False
2.40;80.10;77.04;1.63;2.54;3.43;False
4.10;61.44;81.60;3.67;1.85;3.32;False
6.04;70.83;93.81;1.52;3.27;4.96;True
2.23;87.57;99.67;3.46;1.84;4.28;True
5.63;64.66;97.79;-1.37;2.13;5.41;True
3.57;58.81;78.19;-0.54;2.96;4.43;True
4.91;55.46;64.38;5.38;3.23;2.83;False
3.96;75.45;86.82;-1.46;3.88;4.53;True
3.86;61.42;111.64;1.12;2.00;4.29;True
2.78;82.08;80.51;-0.99;1.90;3.88;False
2.49;67.23;79.88;2.30;2.69;3.27;False
3.82;94.92;84.30;0.27;4.01;5.17;True
14.52;109.35;249.87;5.11;8.85;9.17;True
4.55;83.43;93.73;-0.25;2.36;4.14;True
5.13;60.85;90.43;8.50;3.65;3.89;True
4.48;75.15;84.15;2.87;2.81;4.84;True
4.56;83.95;83.77;1.11;2.70;5.44;True
9.80;99.09;236.70;1.49;5.06;7.24;False
2.86;83.85;73.40;2.03;3.48;4.15;True
5.66;71.03;94.91;1.73;3.70;4.69;True
3.74;64.35;85.63;3.08;3.12;4.16;False
3.65;86.56;77.70;0.35;4.42;3.63;False
3.68;67.48;73.36;;2.89;2.07;False
5.71;104.25;93.04;-0.01;3.83;5.35;True
3.47;74.92;87.27;0.56;2.89;3.01;False
5.88;81.20;83.06;0.72;1.47;4.59;True
3.66;103.22;78.24;0.60;3.06;3.97;False
3.74;66.43;90.23;1.34;3.08;;False
3.10;90.68;83.71;-0.90;1.61;4.28;True
3.47;78.42;93.14;3.10;3.82;3.47;False
3.42;;90.40;2.05;3.40;6.20;True
4.34;92.27;96.76;3.19;4.02;4.79;True
3.27;71.70;80.41;-0.58;1.34;3.61;False
3.96;79.07;92.12;1.93;2.60;4.67;True
3.75;67.81;63.25;0.38;3.72;4.49;True
4.74;74.55;99.19;3.29;1.38;4.20;True
2.86;97.86;68.25;-0.07;2.46;3.25;False
4.79;76.47;102.93;7.12;3.59;3.49;False
-0.40;71.82;89.02;2.17;1.98;2.81;False
4.22;70.02;87.00;1.69;1.50;5.35;True
4.33;83.98;75.13;1.73;4.13;4.32;True
3.65;57.42;93.82;6.92;2.53;2.47;False
1.20;59.57;96.40;1.55;3.68;4.00;True
3.72;75.23;68.51;2.32;3.09;4.44;True
4.08;50.19;74.19;1.65;4.98;4.30;False
1.63;81.57;74.05;1.32;3.25;3.00;False
3.67;72.16;;1.48;3.53;5.14;True
4.58;70.81;83.76;3.52;2.41;2.93;False
4.87;77.19;91.11;1.94;3.21;4.17;True
2.14;59.13;94.85;2.15;3.23;2.74;False
4.19;65.67;100.29;1.51;3.42;4.52;True
2.45;68.40;71.64;0.65;3.31;4.41;False
3.80;72.34;85.97;1.32;3.15;4.68;True
4.43;68.48;93.44;5.74;3.91;4.42;True
4.81;74.12;95.61;2.99;2.99;3.98;True
3.49;79.74;69.88;-0.35;2.03;3.31;False
3.47;72.81;89.90;3.80;3.22;4.89;True
2.90;78.57;86.37;2.74;3.86;2.69;False
2.91;67.36;81.97;3.15;2.04;4.01;False
5.17;80.57;93.73;1.30;3.65;4.10;True
6.71;127.91;255.65;4.09;10.64;8.90;True
4.68;60.23;80.16;1.13;4.65;5.10;True
1.61;81.36;87.84;1.39;3.34;2.89;False
5.05;93.19;94.83;2.59;4.48;5.08;True
3.57;75.80;98.21;1.93;3.48;4.52;True
2.98;76.09;59.56;-0.25;4.51;4.64;True
4.74;65.36;81.92;1.28;2.58;5.72;True
1.61;82.87;76.59;1.64;2.34;3.19;False
3.71;96.10;82.61;1.39;1.82;4.91;True
4.49;66.94;88.16;-0.31;3.00;4.76;True
4.05;63.08;84.20;1.73;1.99;3.53;False
2.78;80.74;88.53;2.31;2.30;4.40;True
2.70;73.38;92.35;1.62;1.62;2.95;False
4.96;65.67;97.18;2.99;1.83;3.24;False
3.70;87.86;98.26;1.95;3.04;4.24;True
4.33;65.63;83.74;2.08;3.03;4.08;True
3.42;71.64;65.48;-0.25;1.33;4.57;True
3.96;78.85;90.12;0.81;2.15;4.78;True
4.66;65.79;89.46;2.05;2.85;5.08;True
2.11;78.47;83.66;2.00;2.15;3.53;False
3.14;85.11;86.47;0.13;3.98;5.06;True
3.92;76.59;77.53;4.50;4.03;3.58;False
3.77;76.95;82.37;1.81;4.61;4.38;True
4.10;87.12;71.21;1.86;2.45;5.01;True
3.13;63.19;102.65;0.09;3.64;4.39;False
3.72;61.64;106.47;0.05;3.00;5.27;True
3.54;75.62;81.38;1.37;2.23;4.29;True
6.60;73.34;84.55;1.76;2.77;5.09;True
4.08;65.09;94.96;5.06;3.42;4.68;True
4.32;82.17;90.58;2.55;3.59;3.58;True
6.48;69.65;80.37;-0.27;2.74;4.36;True
3.18;93.62;80.12;0.91;2.29;4.96;True
4.57;57.79;75.53;-0.72;2.97;4.39;True
2.82;47.06;88.12;1.81;1.40;3.04;False
4.12;83.60;86.58;2.84;2.56;4.28;True
3.92;65.84;79.98;4.57;3.14;3.93;False
4.32;73.54;70.26;1.35;3.04;3.76;False
4.51;83.48;75.34;3.51;1.54;4.42;False
5.16;66.72;95.86;3.16;3.05;4.28;False
5.54;87.73;84.85;4.44;3.82;4.87;True
4.04;52.76;86.82;5.47;3.67;3.95;False
2.71;77.01;92.50;2.19;3.71;3.91;False
11.36;114.71;199.70;1.48;5.65;12.13;True
6.00;67.13;77.17;-0.04;3.58;4.43;True
3.27;98.64;75.86;0.79;3.69;3.31;False
4.56;94.05;54.13;1.72;2.39;4.23;True
2.60;68.99;80.73;1.49;3.60;4.29;True
4.00;65.33;112.89;0.45;3.17;4.89;True
4.43;87.15;71.08;3.38;2.40;3.36;False
2.84;63.06;84.50;0.79;2.92;4.08;False
4.71;67.53;57.65;2.24;3.21;3.40;False
5.37;79.99;87.16;1.52;3.69;4.34;True
3.81;94.21;112.96;2.18;4.03;5.42;True
3.12;69.18;86.12;1.93;3.08;4.47;True
2.76;81.08;82.79;2.99;2.09;3.72;False
3.68;60.22;106.93;2.80;;4.58;True
2.67;86.85;69.83;1.51;3.56;4.74;True
4.12;67.49;97.82;0.58;3.91;5.55;True
2.82;93.97;87.32;1.00;3.90;4.96;True
4.45;95.91;86.42;1.00;3.13;3.82;False
4.46;98.78;86.64;3.73;2.66;3.80;True
6.71;62.52;76.92;;4.22;;True
1.64;80.36;96.33;5.55;3.38;2.67;False
4.51;80.55;82.15;0.84;2.53;5.24;True
3.15;57.33;74.64;3.49;2.83;3.02;False
2.89;82.64;107.99;5.56;2.83;3.95;True
4.49;88.53;85.46;0.94;2.27;5.28;True
4.36;;76.69;0.20;2.68;3.39;True
5.22;76.28;75.56;3.56;3.62;4.79;True
3.56;71.63;81.67;2.15;2.62;4.36;True
3.12;67.30;103.41;0.22;2.16;4.64;True
4.38;88.81;89.38;1.02;3.34;5.50;True
4.50;71.79;90.21;2.16;4.30;4.77;True
1.98;57.79;99.51;0.56;2.00;4.27;False
3.31;71.79;77.21;1.03;3.03;4.26;
12.26;135.08;228.17;5.24;6.04;7.85;False
4.76;76.01;95.13;1.76;3.04;4.28;True
4.30;79.52;81.35;3.58;2.57;4.17;False
10.85;108.59;215.24;7.91;10.76;10.28;True
3.95;54.57;87.76;0.26;2.59;4.42;True
3.36;80.95;79.89;1.36;2.99;3.92;True
4.53;65.86;94.83;1.98;3.05;5.04;True
4.68;66.01;79.11;1.42;3.65;4.67;True
6.82;66.71;67.92;3.84;2.18;3.42;False
4.68;85.17;51.55;3.61;3.89;4.14;True
4.40;69.03;68.03;-0.73;4.54;4.07;False
3.62;85.15;73.90;3.60;3.45;3.90;False
3.86;84.78;83.79;1.05;2.17;3.69;True
6.34;72.99;75.40;4.32;2.03;4.28;True
3.23;64.71;63.13;3.26;3.03;4.25;False
3.80;75.77;81.20;2.93;2.54;4.27;True
3.90;;72.57;1.47;3.38;5.09;True
12.23;125.40;241.03;1.17;7.59;10.87;True
3.47;70.67;90.66;3.60;2.72;3.74;True
4.64;66.66;88.76;-0.44;2.68;4.67;True
4.39;49.65;65.67;0.31;2.89;4.18;False
5.05;68.95;76.77;1.15;3.75;3.36;False
3.23;84.96;89.15;2.38;2.77;4.25;True
5.46;79.84;70.91;1.80;2.68;4.32;True
4.38;77.77;62.66;2.29;3.67;3.50;False
3.47;77.57;83.86;1.11;2.88;4.23;True
2.90;65.89;99.23;-0.52;0.94;3.56;False
2.39;77.27;54.70;1.79;2.57;2.45;False
4.92;55.44;73.33;3.61;3.98;4.12;False
2.43;75.06;88.86;2.11;2.36;4.36;False
3.10;66.92;87.60;1.49;4.38;4.26;True
4.59;77.43;81.70;3.04;2.34;4.51;True
5.06;84.99;100.25;3.21;1.79;5.88;True
1.88;86.01;61.91;1.96;2.97;4.10;False
3.96;65.65;;1.01;2.59;3.35;False
5.28;92.27;99.11;-0.32;2.98;5.31;True
3.91;78.53;62.31;4.18;2.04;3.20;False
4.66;71.34;86.19;1.58;4.08;4.91;True
7.78;130.48;220.86;14.19;6.41;10.40;True
4.89;77.10;70.42;1.78;2.78;5.39;True
4.93;69.06;78.00;4.11;3.58;3.90;True
5.41;96.49;71.10;3.06;3.46;4.85;True
3.57;68.18;82.14;0.08;3.99;4.08;True
2.70;59.39;87.17;2.61;3.35;3.74;False
4.60;71.18;71.64;0.01;2.60;4.74;True
6.31;54.71;81.16;2.84;2.37;3.38;False
2.14;58.35;78.75;3.05;4.69;3.24;False
4.54;68.83;103.79;0.56;2.93;5.23;True
5.24;65.94;81.25;-0.44;3.36;5.10;True
2.16;50.19;98.76;1.11;2.95;3.80;False
3.48;85.88;71.90;0.15;3.26;3.75;False
4.28;81.63;75.64;4.73;3.71;3.40;False
1.58;84.02;83.59;0.22;2.48;4.68;True
4.77;59.15;83.20;1.79;2.13;4.04;True
4.84;66.93;85.92;4.83;2.46;4.75;True
1.93;84.02;102.75;2.17;3.79;4.74;True
2.65;;102.18;2.06;3.14;4.90;True
5.80;90.24;89.62;2.09;4.49;5.03;True
4.73;76.61;51.37;4.19;5.04;4.06;False
6.02;78.74;91.71;4.42;2.28;4.27;False
3.46;60.94;;1.58;3.84;3.97;False
6.04;90.62;68.47;1.74;;5.11;True
4.21;73.18;80.96;2.17;2.66;3.86;False
5.36;80.61;86.83;3.05;3.34;3.76;False
5.11;88.00;100.60;1.72;2.35;4.62;True
0.24;53.19;74.33;1.66;2.27;2.43;False
4.41;67.82;81.04;1.81;3.12;4.56;True
5.18;85.57;81.44;0.58;3.51;4.68;True
5.35;72.13;110.51;4.47;2.15;4.07;True
6.10;79.01;89.68;0.54;2.42;4.68;True
4.22;84.98;108.12;-0.71;1.92;4.58;True
2.63;67.14;62.96;2.01;2.39;4.77;False
5.37;70.19;68.66;2.98;2.84;4.22;True
3.47;78.16;101.39;2.11;3.77;4.72;True
3.98;74.11;69.16;3.51;4.31;4.57;True
5.07;83.00;78.40;0.89;4.14;5.15;True
5.07;59.66;109.83;0.87;2.96;4.83;True
5.51;70.98;69.45;1.80;3.49;3.48;False
15.37;154.50;207.17;7.83;9.71;10.20;True
3.83;89.10;82.93;3.90;3.13;3.26;False
3.58;78.47;66.75;2.68;1.74;3.57;True
4.34;59.05;106.84;4.22;3.87;3.31;False
3.21;78.40;72.44;1.08;1.73;3.90;False
3.38;79.70;79.26;-0.03;3.29;4.20;True
10.93;137.82;228.98;5.84;9.29;9.13;False
4.03;85.15;76.67;6.00;2.05;3.85;False
2.73;78.50;85.57;2.53;2.88;4.95;True
4.07;91.75;93.10;3.25;3.30;4.40;True
4.33;71.81;87.99;2.85;3.32;3.78;True
4.91;82.67;74.53;5.20;2.19;5.45;True
6.95;81.18;84.17;1.09;1.87;5.87;True
5.72;85.98;81.30;-1.24;2.23;4.27;True
2.84;84.77;75.59;5.19;2.82;3.18;False
3.18;83.44;80.81;2.54;2.38;4.31;True
3.40;56.60;67.48;3.12;3.03;3.72;False
3.00;73.20;94.68;-0.89;2.57;4.47;True
4.11;65.68;86.99;1.38;3.78;4.36;True
3.92;74.81;100.92;1.72;3.42;3.58;False
;75.51;82.35;1.49;3.31;4.86;True
4.25;82.82;100.67;3.37;2.27;4.29;True
5.40;51.23;88.74;0.61;2.34;4.36;True
3.31;78.73;88.90;1.00;4.27;4.10;True
3.02;82.22;107.82;1.88;2.85;;True
3.62;91.36;89.99;0.03;4.18;5.11;True
4.25;78.13;78.22;-0.43;2.54;3.65;False
1.42;73.55;91.25;4.48;3.01;2.14;False
4.79;80.98;81.58;1.29;4.29;4.27;True
5.18;70.95;83.78;1.73;2.70;4.71;True
4.28;62.26;96.26;2.60;2.54;4.45;True
3.26;87.69;82.22;0.61;3.74;4.53;True
2.58;66.98;75.78;1.36;3.38;4.54;True
2.04;79.74;98.09;-1.61;3.45;4.60;True
2.87;59.47;112.67;1.37;3.65;3.47;False
3.89;96.27;86.63;0.28;2.37;4.36;True
5.46;48.49;87.55;3.09;3.86;3.65;False
0.58;93.62;90.40;-1.27;1.64;4.43;False
4.49;51.74;83.59;1.18;4.05;4.20;True
3.74;98.10;67.15;;3.22;3.24;False
4.37;79.55;99.76;1.57;2.97;5.29;True
2.26;64.50;86.79;1.94;2.52;2.84;False
2.82;93.80;104.00;1.89;2.61;4.56;True
3.92;62.10;66.03;3.33;3.78;3.89;False
;74.07;87.67;3.90;2.41;3.51;False
4.13;102.34;93.79;0.98;3.75;5.18;True
2.20;74.26;76.23;3.70;4.07;3.65;False
4.32;47.84;75.90;1.63;2.41;4.98;True
4.76;77.39;94.02;3.78;;4.72;True
5.00;72.42;76.04;-0.02;3.33;4.12;True
3.90;81.31;89.47;4.27;2.98;2.77;False
5.27;71.15;82.91;2.26;2.15;3.85;False
4.10;76.27;101.22;2.78;4.50;4.65;True
5.06;54.58;81.83;3.52;3.27;4.27;False
3.91;68.60;84.06;0.03;2.28;4.63;True
3.72;79.30;82.01;1.76;2.52;3.94;False
1.21;64.61;73.25;-0.84;3.34;2.83;False
4.71;93.91;86.61;0.21;3.44;4.82;True
6.00;109.66;268.37;1.10;14.14;11.49;True
5.08;77.70;81.14;4.81;3.52;4.94;
5.17;69.46;88.76;2.31;3.51;2.89;False
2.96;61.43;85.17;4.35;3.15;3.47;False
3.81;75.17;100.08;2.01;1.28;4.84;True
4.17;57.65;73.82;3.03;2.65;4.09;True
3.90;71.02;100.16;1.60;3.55;4.92;True
5.06;77.54;99.46;4.67;3.78;3.91;False
4.98;66.28;76.41;-0.07;3.23;4.29;True
2.89;75.75;73.37;3.44;3.99;5.05;True
5.18;78.46;89.55;0.35;2.36;5.49;True
4.73;80.01;60.91;3.59;3.67;4.17;True
5.98;65.63;92.71;0.58;4.34;5.61;True
;57.76;68.36;;2.55;2.99;False
3.23;77.41;101.18;2.83;4.11;4.26;True
3.74;74.36;88.43;0.65;3.83;5.08;True
3.79;62.72;88.73;0.88;2.04;4.35;False
4.57;53.10;80.99;3.14;3.54;4.98;True
3.82;72.02;70.64;3.51;3.38;3.80;False
8.93;103.75;262.94;4.43;8.44;9.24;True
2.82;71.77;82.66;1.89;1.86;3.83;True
5.06;69.86;120.06;3.16;2.73;4.14;True
11.36;131.68;195.81;5.14;7.78;9.46;True
2.34;85.93;78.26;0.50;2.25;4.67;True
3.56;74.10;72.24;1.61;2.50;3.83;False
3.60;69.37;89.21;1.89;2.75;3.30;False
11.50;95.02;283.92;6.20;5.37;10.64;True
4.84;;105.99;3.23;3.10;4.05;True
4.10;84.24;66.10;1.21;3.55;4.46;True
3.84;73.72;93.73;-1.65;2.57;3.56;False
4.89;62.78;92.12;3.35;4.19;3.52;False
1.94;87.16;86.12;;3.81;5.05;True
3.54;88.64;80.90;2.70;3.06;4.19;True
5.48;73.81;78.64;4.16;3.12;3.98;True
4.78;58.25;83.88;4.22;3.15;5.14;True
4.18;76.80;85.01;1.98;2.98;3.76;False
6.75;72.39;88.71;2.23;2.51;5.29;True
5.53;84.40;81.80;4.18;3.15;4.71;True
3.17;75.87;62.73;0.23;2.88;3.08;False
2.92;100.21;76.14;2.59;3.40;3.18;False
3.04;62.17;78.00;2.91;1.68;2.29;False
2.87;96.52;70.77;7.06;1.63;4.53;True
1.95;77.58;86.08;0.18;1.62;2.52;False
3.10;90.69;85.83;2.61;3.11;4.17;True
4.00;74.76;77.60;0.08;2.06;3.63;False
5.48;65.59;83.64;1.49;3.13;3.83;True
5.19;57.72;80.14;1.81;4.04;4.36;True
5.83;88.08;96.38;2.31;4.21;5.71;True
4.43;72.49;93.74;4.19;4.25;4.42;True
2.68;72.44;;1.80;2.78;4.61;True
5.37;88.96;91.26;4.02;1.87;4.30;True
5.60;85.33;66.68;5.39;2.63;4.48;True
4.47;83.37;81.77;4.01;3.38;3.98;True
4.88;62.41;80.28;3.51;2.96;4.60;True
3.94;92.57;82.51;2.95;2.87;3.83;False
5.94;76.30;64.22;2.93;2.39;4.97;True
4.23;88.60;89.98;0.29;4.56;5.30;True
6.01;81.69;109.59;1.27;1.82;6.06;True
5.77;79.13;76.77;4.83;3.65;4.89;True
2.49;86.28;83.19;6.06;4.35;3.36;False
6.21;81.52;91.09;-0.19;4.21;6.25;
3.24;83.22;81.71;2.82;3.14;4.16;True
4.11;64.49;91.13;2.74;3.36;3.87;False
4.58;69.36;64.97;0.32;2.91;4.61;True
4.43;53.61;66.18;6.78;3.97;3.39;False
4.29;61.56;71.26;3.83;3.58;3.54;False
2.20;87.95;94.24;4.09;2.16;3.18;False
3.92;82.47;80.07;6.66;3.40;4.95;True
5.27;65.93;87.05;1.41;4.05;4.76;True
4.73;94.45;98.88;0.58;2.63;4.69;True
2.24;108.38;76.66;2.07;3.29;5.10;True
12.18;105.65;248.93;-2.25;10.23;9.44;True
4.21;78.91;81.42;0.73;4.58;3.59;False
4.63;73.73;92.93;0.08;1.59;3.78;True
;68.37;79.96;3.88;2.85;3.40;
2.47;82.33;83.57;3.76;2.45;3.37;False
2.74;65.65;82.42;1.56;2.90;4.18;False
5.19;131.81;207.00;9.12;5.76;5.76;False
3.97;74.15;78.59;1.06;2.68;3.26;False
2.25;77.01;84.59;3.23;2.58;3.14;False
3.57;87.48;79.94;-0.36;3.06;4.60;True
4.68;69.91;92.75;6.33;3.58;4.23;True
3.50;61.86;70.22;0.26;2.30;3.56;False
2.76;69.26;72.59;0.71;3.95;3.97;True
4.02;73.64;77.75;3.14;3.81;3.65;True
10.58;147.40;241.22;5.42;11.53;8.46;False
4.83;82.28;100.26;-0.16;3.22;5.73;True
4.48;80.64;82.66;0.96;2.57;3.55;False
6.10;68.08;62.31;4.72;1.85;3.57;False
5.73;53.63;70.93;1.88;3.06;4.66;True
4.19;80.45;88.33;3.42;2.91;4.23;True
