frecuencia;gasto;visitas;devoluciones;satisfaccion_cliente;valor_cliente;cliente_premium
6.59;60.77;44.18;1.68;1.96;;False
5.34;60.20;14.73;4.89;1.33;475.46;True
10.70;21.30;63.57;1.84;0.80;622.18;True
3.67;79.40;;1.34;1.42;255.44;False
2.79;58.45;39.86;1.16;1.05;100.00;False
4.92;67.59;12.67;0.88;0.49;236.95;False
4.40;67.96;38.11;3.28;1.15;222.96;False
5.26;38.75;70.90;1.41;2.01;466.94;False
5.90;99.16;53.25;2.47;2.69;563.75;True
7.16;47.44;18.70;2.20;1.53;230.10;False
2.82;86.77;30.76;1.92;0.89;386.30;
3.44;104.04;27.02;2.84;2.17;487.19;False
8.74;87.56;47.49;0.24;0.76;648.01;True
0.19;42.57;40.87;3.32;1.35;394.97;False
5.29;72.49;47.23;0.75;1.92;406.90;True
6.09;33.36;38.36;0.93;2.06;648.85;True
5.13;94.38;67.21;2.34;1.01;306.78;False
3.76;;67.33;3.27;1.34;210.81;False
4.64;66.37;56.12;1.21;1.74;303.67;True
13.37;240.55;33.06;3.66;1.76;1059.95;True
3.39;44.92;52.27;0.95;2.31;150.90;False
4.86;84.17;48.44;2.06;2.26;629.57;True
0.42;111.17;77.71;0.52;3.78;194.52;False
3.01;48.82;110.67;1.21;2.76;146.32;False
7.71;-13.49;32.51;3.16;0.55;62.27;False
5.64;126.59;149.35;5.69;5.98;248.00;False
8.03;72.41;49.21;0.80;1.87;329.12;True
3.79;30.24;52.58;1.49;1.10;424.21;False
10.48;61.93;59.05;0.51;;360.93;False
7.46;103.42;46.38;2.35;1.61;539.03;True
5.15;96.17;40.80;3.21;1.37;513.35;True
4.69;67.32;4.92;4.82;0.13;343.40;True
18.29;285.46;117.92;0.07;5.39;2802.63;True
2.92;67.77;58.26;1.01;3.03;226.79;False
5.93;22.64;58.13;1.80;1.30;53.66;False
2.69;41.27;57.58;3.58;1.15;150.60;False
3.09;60.22;19.04;;2.11;85.72;False
9.09;103.32;39.78;0.57;1.73;440.79;True
4.23;-9.78;84.85;1.32;0.78;64.56;False
6.99;75.34;9.71;-0.10;2.93;369.72;False
7.83;57.60;47.60;2.82;1.95;379.88;False
6.60;48.62;28.91;1.30;1.10;560.04;True
5.95;8.14;9.51;4.00;0.98;255.18;False
11.78;250.97;217.51;3.17;3.34;2017.74;True
4.54;56.59;53.46;1.03;1.83;328.89;False
6.09;10.31;36.93;2.19;1.41;248.88;False
2.79;24.28;83.37;2.57;1.09;118.79;False
5.97;55.73;29.32;0.43;0.90;357.80;False
8.14;80.65;48.75;2.65;1.84;540.07;True
4.18;36.97;47.42;0.51;1.55;126.67;False
4.10;53.07;52.58;4.00;1.14;190.26;False
5.50;30.05;39.94;2.07;1.83;149.09;False
5.95;125.05;77.76;-0.75;4.08;547.08;True
3.51;41.26;25.03;3.02;0.92;-84.06;False
0.56;70.81;73.01;8.02;1.17;-208.07;False
7.08;88.34;57.53;0.90;3.19;594.70;True
4.72;23.30;53.40;1.18;1.55;2.93;False
7.47;26.18;55.49;4.24;0.50;71.99;False
5.68;43.10;63.46;0.28;1.57;169.91;False
2.35;86.61;60.63;0.77;0.92;56.48;False
6.57;4.74;35.72;1.56;2.62;-37.91;False
3.21;82.35;63.27;2.40;1.09;362.82;False
5.49;27.37;30.11;1.05;0.76;260.71;False
0.41;45.30;42.15;1.97;2.43;150.37;False
0.64;-21.95;54.45;4.78;1.44;-60.81;False
7.24;53.97;29.49;2.29;0.91;566.63;True
5.15;41.50;22.10;-0.32;1.22;-97.40;False
3.40;44.80;9.60;2.85;1.51;74.11;False
5.20;65.73;64.90;2.94;0.66;78.73;False
4.81;93.43;45.33;5.43;0.83;93.54;False
6.09;44.09;51.02;3.00;1.52;280.48;False
4.88;80.18;79.68;1.19;2.34;586.36;True
3.78;37.77;37.63;1.17;0.89;212.68;False
4.69;52.32;62.27;2.60;1.15;408.70;False
2.30;78.71;55.81;2.86;1.49;;False
2.29;112.86;0.63;0.75;2.85;266.33;False
3.72;49.83;16.67;-0.31;1.35;232.13;False
1.91;57.01;54.33;1.55;1.84;34.73;False
7.14;80.61;73.70;5.34;1.79;505.43;True
6.25;59.23;13.74;5.58;1.12;253.75;False
7.61;92.92;54.86;0.98;4.24;762.76;True
6.64;74.27;40.81;1.58;2.54;359.39;True
10.56;44.16;60.23;1.28;0.90;363.08;True
2.81;63.94;27.17;2.56;1.28;479.94;False
5.80;43.35;28.83;1.82;;42.96;False
4.05;54.59;23.55;4.32;1.44;39.79;False
8.64;58.22;34.07;2.98;1.24;524.69;False
4.44;80.61;62.83;3.29;1.39;179.16;False
1.04;74.61;33.45;1.56;1.39;86.20;False
4.35;81.89;25.45;2.37;0.52;272.11;False
5.39;-32.74;17.28;0.85;0.78;100.33;False
0.82;4.57;38.17;-0.11;0.82;85.82;False
7.06;77.65;49.80;6.59;1.42;625.44;True
3.73;51.70;;1.53;1.10;195.86;False
3.87;22.16;47.79;1.76;2.39;346.67;False
5.36;101.11;35.92;-0.38;1.64;474.17;False
7.48;-6.21;57.43;0.96;2.21;51.84;False
3.50;37.47;65.46;2.79;2.99;59.12;False
5.19;107.69;28.10;-0.14;2.57;480.30;True
6.03;-8.32;34.86;1.92;0.85;4.20;False
3.62;44.07;55.85;3.44;0.97;72.24;False
8.86;15.49;35.04;0.57;1.12;66.65;False
5.78;35.14;23.82;3.04;1.08;88.01;False
0.71;99.86;22.98;1.25;1.58;406.18;False
2.80;-28.88;72.95;2.25;0.63;60.79;False
6.47;66.87;61.41;2.94;1.00;188.51;False
5.76;92.04;43.98;-1.33;3.27;573.62;True
7.86;11.02;73.94;0.65;2.32;244.27;False
3.63;92.38;14.99;0.90;1.60;292.71;False
4.26;116.83;43.65;-0.04;2.31;401.89;True
7.35;111.48;76.30;3.41;3.48;605.37;True
6.51;34.67;44.26;2.94;1.21;382.99;True
3.63;113.60;37.81;1.57;0.50;477.90;False
7.24;55.05;45.07;1.41;0.44;686.10;True
8.77;51.38;33.92;1.01;2.75;523.56;True
5.09;30.62;10.53;0.38;0.89;47.17;False
3.82;57.83;52.68;0.31;1.25;335.69;False
10.23;153.66;18.67;1.03;1.94;1144.05;True
9.39;22.52;8.55;2.35;0.95;-32.04;False
7.98;38.22;47.79;0.62;1.28;205.59;False
5.84;37.23;29.95;2.65;0.81;491.21;False
8.66;77.98;111.62;5.02;2.65;445.45;False
8.09;87.53;53.73;3.69;1.39;569.95;True
3.02;68.06;51.91;2.01;1.73;173.58;False
3.95;85.32;100.14;0.88;2.41;305.63;False
5.93;;66.48;1.13;2.80;691.43;True
5.45;68.59;55.05;4.67;0.65;289.07;False
5.36;55.85;43.09;-0.09;1.77;144.27;False
2.33;-0.95;85.91;0.61;0.77;73.99;False
2.89;62.16;46.25;3.02;0.95;338.89;False
4.12;24.61;30.21;2.02;0.98;116.28;False
2.37;70.74;46.75;0.77;0.76;360.64;False
5.70;23.86;29.18;2.81;0.86;188.88;False
4.91;-19.20;93.48;1.16;1.25;-75.91;False
7.03;90.39;26.27;1.03;0.96;492.48;True
4.98;81.09;67.04;1.61;-0.09;367.44;True
5.49;119.29;32.33;3.41;2.05;288.08;True
6.24;29.97;60.19;1.55;1.21;61.92;False
6.82;83.02;60.58;2.57;0.52;605.68;True
3.72;134.71;41.51;1.28;4.48;741.04;True
4.24;31.47;74.00;2.62;0.91;74.35;False
4.45;69.47;66.86;2.81;2.63;232.16;False
5.37;37.82;90.54;0.79;1.78;386.45;False
5.16;23.28;66.33;3.58;0.82;174.64;False
4.22;68.32;49.30;1.27;1.53;420.23;False
8.17;22.54;50.27;4.34;0.80;270.23;
4.02;50.34;45.69;0.57;0.94;45.58;False
3.60;137.24;50.03;1.76;2.43;531.01;True
7.60;37.21;65.77;3.64;0.89;208.72;
6.01;66.39;23.19;1.34;0.54;284.39;False
10.46;144.28;41.37;1.66;2.15;1438.85;True
5.08;;28.41;2.00;1.46;366.29;True
1.55;104.59;48.58;0.44;4.03;49.93;False
5.90;19.11;76.02;0.26;1.35;121.89;False
2.18;31.88;-24.67;1.40;1.74;25.91;False
5.35;12.36;34.54;-0.51;0.96;-29.01;False
5.96;68.98;79.79;2.18;1.23;313.51;False
4.39;120.24;73.54;2.77;4.55;463.33;True
0.51;78.95;50.36;-0.01;0.29;-2.62;False
5.56;99.48;18.75;2.29;1.05;150.38;False
3.55;29.80;72.49;-0.81;3.40;388.56;False
7.63;31.92;43.67;4.84;1.01;324.15;False
1.92;49.77;51.07;1.63;1.07;-23.56;False
5.04;44.35;113.06;4.91;0.64;173.53;False
6.97;62.01;26.82;2.31;1.26;582.06;True
0.62;152.95;69.47;0.33;4.11;121.30;False
13.21;230.04;108.85;9.77;1.61;1699.63;True
5.16;45.48;57.17;2.98;2.83;262.26;False
3.35;27.87;34.44;1.32;1.28;82.53;False
0.86;41.75;33.44;0.25;1.39;61.01;False
4.18;110.51;40.47;4.58;1.49;570.84;True
2.80;75.15;12.46;1.85;1.70;296.46;False
3.67;85.80;13.67;2.27;1.31;217.21;False
8.02;54.10;25.03;4.08;0.90;402.96;True
;71.99;31.57;-1.04;2.35;682.50;True
5.07;3.56;57.83;2.59;0.92;147.14;False
2.72;51.07;78.09;2.05;0.69;89.98;False
9.96;97.11;44.16;2.07;1.64;787.97;True
14.41;366.39;66.24;1.57;6.60;1880.83;True
7.38;109.85;30.43;0.62;2.03;497.30;True
7.56;48.03;11.87;0.40;0.92;285.20;False
1.49;69.70;21.21;0.67;2.41;198.65;False
8.06;33.15;10.69;0.41;1.65;318.23;False
2.34;103.62;1.48;3.18;0.66;223.29;False
5.42;73.82;48.35;3.61;0.95;357.20;False
6.43;58.33;52.60;0.77;3.27;167.84;False
8.41;59.90;47.58;3.61;2.89;831.40;True
5.38;58.85;12.25;2.74;2.99;523.62;False
;-30.99;27.37;2.03;1.15;-109.82;False
2.79;52.11;71.86;1.70;1.04;149.78;False
5.06;30.70;72.63;-0.60;1.65;383.41;False
5.51;56.92;3.04;1.88;0.69;381.79;False
6.60;72.29;33.71;2.03;1.30;274.43;False
7.84;75.71;15.63;0.40;1.64;304.99;True
4.88;43.80;60.29;0.62;0.68;142.44;False
6.92;48.40;76.80;2.40;1.60;382.64;False
0.81;-5.62;-19.86;0.66;0.70;139.64;False
0.31;82.81;31.17;4.62;2.07;224.36;False
7.53;38.81;47.09;4.46;1.17;369.18;True
1.51;57.82;-3.47;1.82;1.20;189.67;False
6.45;20.96;67.50;-0.21;2.79;162.68;False
4.00;13.03;53.75;2.30;0.85;314.35;False
7.08;102.80;21.30;5.02;1.02;957.50;True
9.08;36.18;54.95;4.90;1.21;243.70;False
4.57;38.53;73.57;3.29;1.04;93.97;False
5.73;64.03;62.37;5.67;1.01;332.90;False
4.29;52.06;48.04;0.73;2.59;312.63;False
5.06;73.15;52.56;3.67;0.19;539.50;True
5.71;26.56;33.99;1.59;2.47;;False
10.58;31.38;42.62;0.84;2.28;622.77;True
2.09;22.85;23.42;0.64;1.77;149.12;False
14.54;-10.19;202.97;3.96;4.83;483.67;False
6.40;26.41;48.49;5.86;0.62;-33.70;False
5.59;74.95;;6.33;0.23;277.19;False
4.61;97.76;15.85;3.40;0.12;379.76;False
4.00;72.36;41.15;5.24;1.23;265.70;True
4.16;49.18;31.51;5.35;1.23;332.67;False
5.99;78.26;17.46;3.17;2.47;555.06;True
4.99;32.92;21.90;2.18;1.12;167.48;False
4.23;17.40;13.46;3.67;1.52;106.04;False
4.43;39.17;55.81;1.49;2.88;42.40;False
13.72;146.71;144.35;5.89;4.10;825.85;False
8.12;-11.39;56.78;1.71;1.03;415.88;False
5.96;19.19;48.44;2.81;1.19;-26.18;False
5.50;-18.67;34.49;1.41;1.08;122.94;False
6.29;119.74;1.62;;0.98;576.22;True
4.87;68.54;55.57;0.63;2.60;272.17;False
3.25;48.12;60.20;5.33;0.66;;False
4.42;;45.00;1.77;2.24;319.48;False
4.95;58.16;25.33;2.08;1.30;194.30;False
6.11;65.36;7.59;1.13;0.78;299.81;False
7.69;116.19;23.35;1.52;2.04;955.07;True
5.67;66.33;78.93;3.37;1.34;470.91;True
2.22;49.83;57.93;2.04;1.09;273.48;False
5.30;85.70;42.16;0.33;2.31;269.41;True
6.94;61.82;33.24;1.45;2.02;514.65;True
4.98;19.40;18.99;5.68;1.42;243.49;False
8.10;77.92;33.57;1.58;1.32;435.44;True
5.71;94.48;54.15;1.02;1.78;387.92;False
3.53;129.89;26.98;1.09;2.47;448.84;False
7.45;2.63;27.54;1.87;1.21;-26.28;False
3.89;53.11;59.55;1.71;3.67;431.48;False
2.94;51.47;44.36;2.48;0.62;111.91;False
4.80;96.41;58.37;3.01;1.02;385.21;True
5.37;67.23;41.29;2.76;1.13;309.43;False
7.06;76.27;45.79;-0.33;2.17;668.50;True
7.24;78.68;14.52;2.98;1.49;469.46;True
8.54;29.06;53.77;1.58;0.72;382.32;False
3.48;79.02;45.37;3.41;1.43;129.20;False
5.90;39.00;26.60;1.61;0.56;208.43;False
6.60;51.79;46.14;-0.60;1.99;138.42;False
6.41;74.95;18.16;2.73;1.08;307.04;False
6.98;70.54;50.76;2.51;2.10;379.48;False
0.48;37.09;26.05;2.76;1.54;-166.18;False
1.68;61.44;20.37;3.18;1.46;-0.95;False
2.14;-5.08;48.31;1.93;1.13;-133.53;False
5.13;-21.05;57.07;1.42;1.17;204.59;False
0.83;127.66;25.26;4.90;1.27;233.46;False
6.69;69.25;44.31;1.76;0.48;169.96;False
4.88;45.44;33.47;3.39;0.61;325.15;False
4.10;44.44;22.18;0.79;1.96;164.74;False
9.71;70.95;57.46;1.65;1.46;687.46;True
9.48;52.52;54.11;2.35;0.69;343.52;True
5.50;121.01;28.42;0.87;1.12;360.14;False
6.14;62.72;7.01;3.64;3.85;491.89;True
4.33;76.63;;2.53;1.85;112.79;False
6.83;55.69;38.45;1.89;1.61;741.23;True
2.82;67.45;50.77;0.71;2.28;327.41;False
4.56;90.42;80.29;1.58;1.42;156.20;False
4.59;57.48;;3.49;1.00;216.47;False
5.82;112.21;53.08;1.04;2.00;638.51;True
4.80;85.21;2.38;3.57;1.01;503.65;False
15.19;187.60;22.75;8.35;2.70;1750.69;True
7.79;-7.79;69.55;1.65;2.26;-98.05;False
17.61;155.56;25.63;2.99;2.30;978.75;True
4.97;92.82;66.30;2.18;0.34;466.95;True
2.72;68.96;93.25;-0.62;1.74;341.11;False
0.77;64.45;11.38;3.11;1.04;-12.05;False
5.74;63.95;1.94;1.09;0.40;382.37;True
7.49;56.61;41.43;2.26;1.54;682.47;True
3.42;-32.46;64.91;1.81;1.14;-157.50;False
6.26;85.83;21.98;1.04;1.12;665.23;True
6.61;71.49;65.98;2.40;4.01;268.87;False
5.53;77.15;67.06;1.05;1.60;337.82;False
7.79;34.31;35.70;2.38;1.87;284.19;False
7.55;67.76;12.20;3.53;2.41;541.51;True
4.94;96.35;61.42;0.96;1.61;362.60;False
4.24;-23.56;8.28;3.30;1.02;-41.62;False
4.59;39.12;40.76;1.79;1.08;147.77;False
5.60;85.46;23.16;0.90;3.29;631.81;True
0.71;86.35;45.24;5.11;1.12;-41.99;False
7.59;52.19;41.85;4.61;1.26;433.70;False
3.29;65.46;42.40;2.21;0.97;213.80;False
2.33;51.99;35.05;2.22;0.46;-11.16;False
7.97;5.26;58.56;2.20;0.84;258.70;False
3.81;54.38;27.81;2.22;1.17;338.09;False
2.74;110.53;34.86;-0.11;3.05;234.81;False
5.21;67.33;57.54;5.43;1.75;475.94;False
3.73;69.92;47.47;2.00;1.21;341.91;False
3.96;19.37;28.63;-0.37;1.15;228.63;False
6.08;60.45;23.78;2.79;1.26;357.87;True
7.36;82.87;29.62;1.07;1.18;578.31;True
1.25;103.23;2.28;2.97;0.70;390.99;False
6.28;84.02;69.10;-0.26;1.17;397.34;True
2.39;86.57;51.81;1.97;1.83;199.17;False
3.48;35.54;9.62;1.16;0.84;175.14;False
0.39;29.23;49.89;4.66;0.94;89.93;False
9.08;59.83;59.16;1.20;2.53;573.69;True
3.36;41.58;34.76;0.30;2.20;242.77;False
7.19;53.79;42.68;2.30;1.71;392.53;False
11.40;167.60;182.89;0.80;4.86;1054.86;False
2.72;63.24;47.21;2.76;1.09;148.37;False
3.63;81.65;32.99;0.48;;304.87;False
2.79;83.10;56.25;0.93;3.54;228.18;False
3.55;52.76;52.08;2.20;1.07;52.70;False
3.82;41.52;37.06;1.99;0.84;200.01;False
5.22;103.65;13.47;3.46;1.12;519.55;True
7.31;99.42;73.45;-0.69;2.21;480.33;True
4.20;33.11;22.46;1.70;1.58;14.12;False
8.36;193.07;36.68;-0.35;5.11;845.05;False
3.22;76.67;74.93;1.19;3.44;79.45;False
;65.63;35.10;2.42;3.32;444.89;True
4.30;62.35;36.88;4.85;1.56;101.39;False
;70.17;24.56;2.23;1.70;-18.58;False
6.94;-15.63;66.47;4.66;0.62;157.01;False
5.20;48.31;34.67;2.44;1.27;432.31;False
4.58;102.30;82.91;3.94;0.78;487.02;True
12.18;433.15;166.45;6.13;10.40;3511.35;True
9.35;99.59;54.11;2.19;1.01;649.98;True
7.81;82.54;35.65;3.13;1.42;440.04;False
0.03;74.65;88.93;4.47;1.36;-9.71;False
3.91;81.03;39.39;0.59;0.97;479.84;
2.64;90.80;43.99;2.14;2.95;-63.87;False
3.98;85.98;7.88;3.77;1.12;304.08;False
2.31;28.45;45.17;4.46;0.94;-4.18;False
5.48;85.25;27.12;3.52;0.70;171.99;False
7.52;113.61;75.74;1.44;2.37;1047.63;True
5.96;79.79;-16.12;0.03;2.53;440.35;True
8.78;112.07;-4.35;4.19;1.53;935.32;True
4.94;51.37;35.92;3.64;1.11;241.49;False
8.34;40.22;44.00;-0.70;2.42;151.02;False
0.19;59.54;63.85;-0.06;0.95;-25.93;False
6.33;11.27;48.38;2.10;0.70;91.18;False
8.02;63.95;26.91;2.43;1.73;263.85;False
9.67;89.01;47.07;2.28;0.91;592.55;True
1.81;74.71;52.66;1.22;2.21;234.03;False
9.55;69.51;18.90;1.33;;800.50;True
4.88;65.32;63.11;-0.07;1.28;280.73;False
5.24;43.99;18.53;4.01;1.04;241.21;False
6.17;106.30;37.87;2.18;2.25;798.18;True
6.66;73.17;28.87;1.62;1.20;507.18;True
2.30;40.53;6.08;-0.44;2.88;164.85;False
10.92;159.40;105.10;2.59;4.16;1374.75;False
3.16;54.65;36.47;5.87;1.22;191.78;False
4.59;29.47;44.26;0.86;1.69;446.58;False
4.69;92.67;45.67;0.75;3.62;390.62;True
0.82;105.22;59.45;0.20;2.69;183.30;False
5.25;67.25;38.73;3.68;0.82;316.95;False
6.36;75.20;40.14;0.69;0.60;504.31;True
5.03;45.17;81.64;3.02;2.48;434.32;False
2.28;-0.37;78.74;-0.68;1.60;-1.65;False
2.83;83.26;37.53;0.94;2.26;310.08;False
6.54;81.90;15.29;4.60;1.14;409.66;True
5.91;70.93;-22.76;3.80;0.61;345.20;False
6.68;59.24;14.49;1.80;1.18;255.07;False
5.89;94.14;44.15;1.92;1.87;549.74;True
5.46;54.82;18.89;0.52;1.32;165.59;False
4.58;40.11;38.60;0.78;0.83;55.61;False
4.15;73.77;36.54;3.00;1.94;513.23;False
10.17;;34.61;2.18;1.38;622.88;True
6.78;71.77;41.37;3.29;2.22;673.87;True
4.48;74.07;7.44;0.71;1.65;376.36;True
2.45;105.57;57.65;1.13;4.14;393.81;False
7.93;56.43;37.96;4.87;0.67;397.85;True
0.39;98.09;24.09;;1.11;11.68;False
6.52;76.78;23.78;1.38;3.67;399.52;True
7.99;73.70;99.72;3.57;1.36;343.53;False
5.50;48.87;51.56;2.06;2.21;334.50;False
4.71;104.68;66.80;-0.53;;578.93;True
8.82;202.92;120.61;1.58;2.94;362.80;False
4.35;54.91;60.94;0.19;3.55;145.56;False
2.76;49.86;28.95;1.33;0.81;81.66;False
3.27;19.47;45.09;2.54;1.44;127.80;False
2.90;120.67;40.87;1.09;1.95;131.09;True
5.69;54.20;53.62;3.22;1.19;309.73;False
6.14;105.71;55.24;1.89;1.20;734.94;True
18.55;400.29;193.66;10.94;3.93;3425.58;True
4.06;94.15;48.39;;1.12;483.38;True
5.86;33.01;4.04;1.87;3.29;162.00;False
9.66;440.25;157.17;11.33;2.10;2090.91;True
2.82;95.73;46.39;3.94;1.57;91.24;False
3.72;10.21;44.12;-0.34;2.08;115.27;False
21.28;131.23;72.23;2.21;3.18;2405.92;True
7.03;29.15;26.26;1.98;0.68;489.75;True
7.32;45.60;73.46;2.82;3.54;486.54;True
7.45;65.94;36.58;3.57;1.76;441.01;True
5.27;97.18;31.58;0.93;2.01;314.24;True
;55.53;83.34;0.98;0.83;303.76;False
5.68;82.00;65.59;-0.03;2.05;710.62;True
-3.12;25.79;54.98;0.70;1.26;-62.04;False
2.19;87.62;26.26;2.63;0.55;98.93;False
0.30;64.96;91.56;0.92;1.53;67.25;False
2.39;25.41;35.05;1.65;1.05;135.01;False
3.04;63.96;44.86;5.74;0.74;477.18;True
4.39;87.92;37.65;3.67;1.13;383.66;False
3.96;86.47;41.43;3.32;1.43;230.81;False
5.28;41.00;28.36;-0.19;1.17;251.38;False
6.63;70.08;48.67;2.17;1.76;373.92;True
4.74;66.72;55.47;0.31;0.91;423.13;False
18.64;134.55;116.61;1.97;6.76;909.80;False
3.65;99.71;-4.05;0.14;2.18;174.88;False
5.76;62.78;89.87;4.58;0.75;670.59;True
4.75;-30.24;63.71;2.52;0.80;-176.79;False
6.88;1.44;56.82;0.89;1.48;-69.34;False
4.54;110.17;82.76;4.62;1.79;591.32;True
9.72;23.12;22.34;3.82;0.69;234.25;False
6.11;9.25;24.08;1.35;1.31;194.26;False
5.16;60.88;29.63;3.38;0.86;229.22;False
2.92;40.79;89.78;1.29;1.15;113.09;False
8.45;49.07;57.54;0.39;1.88;476.02;False
2.09;-8.98;84.10;1.31;0.95;170.21;False
8.58;67.94;25.04;-0.04;4.25;;True
6.37;99.95;-14.69;1.93;3.59;471.07;True
3.52;13.70;-19.56;-0.23;1.06;-33.71;False
4.90;96.87;60.67;-0.03;1.02;587.44;True
9.68;54.74;53.79;3.56;0.88;445.16;True
5.40;113.89;51.26;3.63;1.37;548.09;True
3.85;64.35;13.47;2.47;0.86;187.64;False
5.02;60.20;20.16;0.75;0.63;447.11;False
3.84;74.08;9.66;1.14;1.99;334.35;False
6.49;105.98;34.44;0.95;1.23;681.73;True
4.65;40.06;58.11;1.12;3.24;-7.75;False
16.63;118.11;206.77;5.51;4.84;1261.04;False
7.34;115.13;43.75;3.61;3.36;656.40;True
7.07;40.33;42.73;0.70;2.27;267.74;False
7.83;40.92;105.80;0.30;2.92;200.31;False
4.12;139.82;39.05;1.91;1.22;507.74;True
2.36;-3.79;2.49;0.72;1.04;197.56;False
6.29;48.85;28.96;2.77;1.27;81.20;False
5.14;29.02;51.09;4.86;1.05;246.70;False
2.25;117.59;18.46;0.19;4.38;464.23;False
5.92;-21.99;68.57;0.74;0.20;-104.53;False
2.85;48.19;42.42;6.03;0.86;164.71;False
