"V1" "V2" "V3" "V4" "V5" "V6"
"146" 18.65 16.41 6.285 3.594 4.391 6.102
"147" 11.81 13.45 5.413 2.716 4.898 5.352
"148" 11.02 13 5.325 2.701 6.735 5.163
"149" 19.51 16.71 6.366 3.801 2.962 6.185
"150" 18.55 16.22 6.153 3.674 1.738 5.894
"151" 11.82 13.4 5.314 2.777 4.471 5.178
"152" 14.38 14.21 5.386 3.312 2.462 4.956
"153" 11.27 12.97 5.088 2.763 4.309 5
"154" 12.38 13.44 5.219 2.989 5.472 5.045
"155" 11.26 13.01 5.186 2.71 5.335 5.092
"156" 12.54 13.67 5.451 2.879 3.082 5.491
"157" 18.83 16.29 6.037 3.786 2.553 5.879
"158" 14.69 14.49 5.563 3.259 3.586 5.219
"159" 11.75 13.52 5.444 2.678 4.378 5.31
"160" 14.92 14.43 5.384 3.412 1.142 5.088
"161" 19.06 16.45 6.416 3.719 2.248 6.163
"162" 20.2 16.89 6.285 3.864 5.173 6.187
"163" 20.16 17.03 6.513 3.773 1.91 6.185
"164" 15.78 14.91 5.674 3.434 5.593 5.136
"165" 14.88 14.57 5.554 3.333 1.018 4.956
"166" 15.26 14.85 5.714 3.242 4.543 5.314
"167" 12.7 13.41 5.183 3.091 8.456 5
"168" 14.43 14.4 5.585 3.272 3.975 5.144
"169" 11.23 12.88 5.14 2.795 4.325 5.003
"170" 11.56 13.31 5.363 2.683 4.062 5.182
"171" 14.33 14.28 5.504 3.199 3.328 5.224
"172" 12.19 13.36 5.24 2.909 4.857 5.158
"173" 13.32 13.94 5.541 3.073 7.035 5.44
"174" 16.2 15.27 5.826 3.464 2.823 5.527
"175" 17.55 15.66 5.791 3.69 5.366 5.661
"176" 17.63 15.86 6.033 3.573 3.747 5.929
"177" 18.3 15.89 5.979 3.755 2.837 5.962
"178" 13.02 13.76 5.395 3.026 3.373 4.825
"179" 18.36 16.52 6.666 3.485 4.933 6.448
"180" 14.28 14.17 5.397 3.298 6.685 5.001
"181" 12.01 13.52 5.405 2.776 6.992 5.27
"182" 19.18 16.63 6.369 3.681 3.357 6.229
"183" 11.43 13.13 5.176 2.719 2.221 5.132
"184" 14.34 14.37 5.63 3.19 1.313 5.15
"185" 15.26 14.84 5.763 3.312 2.221 5.22
"186" 18.94 16.32 6.144 3.825 2.908 5.949
"187" 18.85 16.17 6.152 3.806 2.843 6.2
"188" 17.63 15.98 6.191 3.561 4.076 6.06
"189" 17.98 15.85 5.979 3.687 2.257 5.919
"190" 12.49 13.46 5.267 2.967 4.421 5.002
"191" 12.26 13.6 5.408 2.833 4.756 5.36
"192" 12.1 13.15 5.105 2.941 2.201 5.056
"193" 11.83 13.23 5.263 2.84 5.195 5.307
"194" 20.97 17.25 6.563 3.991 4.677 6.316
"195" 20.24 16.91 6.315 3.962 5.901 6.188
"196" 13.22 13.84 5.395 3.07 4.157 5.088
"197" 11.48 13.05 5.18 2.758 5.876 5.002
"198" 11.23 12.63 4.902 2.879 2.269 4.703
"199" 13.99 13.83 5.119 3.383 5.234 4.781
"200" 17.26 15.73 5.978 3.594 4.539 5.791
"201" 19.31 16.59 6.341 3.81 3.477 6.238
"202" 10.83 12.96 5.278 2.641 5.182 5.185
"203" 15.69 14.75 5.527 3.514 1.599 5.046
"204" 10.79 12.93 5.317 2.648 5.462 5.194
"205" 13.8 14.04 5.376 3.155 1.56 4.961
"206" 11.27 12.86 5.091 2.804 3.985 5.001
"207" 17.12 15.55 5.85 3.566 2.858 5.746
"208" 16.82 15.51 6.017 3.486 4.004 5.841
"209" 12.21 13.47 5.357 2.893 1.661 5.178
"210" 19.15 16.45 6.245 3.815 3.084 6.185
